image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/KokoniPurebredDogsGreeceGreekCreamWhiteAdult.jpg/220px-KokoniPurebredDogsGreeceGreekCreamWhiteAdult.jpg
000002.jpg,https://i.pinimg.com/236x/c9/8b/77/c98b7763cb3b91046d0d551d7d529eef--dog-furniture-dog-names.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Cadela_da_ra%C3%A7a_Kokoni.jpg/220px-Cadela_da_ra%C3%A7a_Kokoni.jpg
000004.jpg,https://i.ytimg.com/vi/ylFyVVnjWM8/maxresdefault.jpg
000005.jpg,http://www.dogipedia.co.uk/wp-content/uploads/2015/12/smal-greek-d-d-774x320.jpg
000006.jpg,https://www.dogbreedinfo.com/images10/SGDDMemail.jpg
000007.jpg,https://i.pinimg.com/originals/ea/f9/be/eaf9bef889cb23f0bbc60d2d98d08856.jpg
000008.jpg,https://www.dogbreedinfo.com/images18/MeliteoKinidioHoney2.JPG
000009.jpg,https://www.dogbreedinfo.com/images16/SMALLGREEKDOMESTICDOGBo.JPG
000010.jpg,http://www.dogbreedstandards.com/wp-content/uploads/2013/04/70024.jpeg
000011.jpg,https://www.dogbreedinfo.com/images18/MeliteoKinidioHoney1.JPG
000012.jpg,https://i.pinimg.com/originals/23/b0/23/23b023113ebb28106d32fe1211d1eb81.jpg
000013.jpg,https://i.pinimg.com/originals/15/8c/8d/158c8da9a5c90486e7714d428d5758f7.jpg
000014.jpg,https://i.pinimg.com/originals/70/db/e7/70dbe76e216e54322c09f94c5f8309b2.jpg
000015.jpg,https://st4.depositphotos.com/19499586/21455/i/1600/depositphotos_214552664-stock-photo-coconi-small-greek-domestic-dog.jpg
000016.jpg,http://www.dogwallpapers.net/wallpapers/resting-small-greek-domestic-dog-photo.jpg
000017.jpg,https://images-na.ssl-images-amazon.com/images/I/51Kfd5x6LpL.jpg
000018.jpg,https://i.ytimg.com/vi/QjyXLeUzrYw/hqdefault.jpg
000019.jpg,https://i.pinimg.com/236x/bf/db/aa/bfdbaa0ef8de29fcb339d6183065ace3.jpg
000020.jpg,http://www.europetnet.com/images/dummy-dog.jpg
000021.jpg,https://www.animalssale.com/uploads/breed/breeds-2/smallgreekdomesticdog.jpg
000022.jpg,https://www.dogbreedinfo.com/images6/Small_Greek_Domestic_Dogjesse1.jpg
000023.jpg,https://i.ytimg.com/vi/E-Y5gK3Zb9U/maxresdefault.jpg
000024.jpg,https://s1.dmcdn.net/MBv9T/x1080-Ith.jpg
000025.jpg,https://www.doglib.com/wp-content/uploads/sites/2/sm/small-mutt-dog-breed.jpg
000026.jpg,https://i.pinimg.com/originals/8a/47/3c/8a473cc81c783c815577f3c410c0f662.jpg
000027.jpg,https://t3.ftcdn.net/jpg/02/62/97/46/240_F_262974645_MM5KnZgpRHAxqhSeORY7RjueEH5siGou.jpg
000028.jpg,https://banner2.kisspng.com/20180429/yjq/kisspng-puppy-golden-retriever-small-greek-domestic-dog-fr-5ae5622f60c412.0034208915249823193964.jpg
000029.jpg,http://3.bp.blogspot.com/-VdboKAvnExg/Wc-uuOkx4eI/AAAAAAAAlhc/Dz6AYNIX2PgHcEVOSE9ih7vLRMoX-HWEgCK4BGAYYCw/s1600/Small%2BGreek%2BDomestic%2BDog%2B-%2BGreek%2BDog%2BName-702469.png
000030.jpg,https://i.pinimg.com/originals/48/cf/42/48cf424d513d29e08c8a8f9e23a3295e.jpg
000031.jpg,https://bigdogbreeds.info/wp-content/uploads/2019/01/Small-Greek-Domestic-Dog-images.jpg
000032.jpg,https://get.pxhere.com/photo/dog-mammal-vertebrate-dog-breed-canidae-golden-retriever-carnivore-retriever-sporting-group-snout-companion-dog-Small-greek-domestic-dog-street-dog-fawn-nova-scotia-duck-tolling-retriever-1581315.jpg
000033.jpg,http://www.pethealthnetwork.com/sites/default/files/what-are-titer-tests-and-why-might-my-veterinarian-recommend-them482066524.jpg
