image,source
000001.jpg,https://i.ytimg.com/vi/XnONP-VpCxE/maxresdefault.jpg
000002.jpg,https://i.pinimg.com/236x/83/8b/8b/838b8b4955e2bc45fa97b4375a254c43--miniature-schnauzer-cattle-dogs.jpg
000003.jpg,https://i.pinimg.com/236x/0f/1a/11/0f1a1102e6b857127822e812c990cf1e--bearded-collie-victoria.jpg
000004.jpg,https://sites.google.com/site/smithfieldsheepdog/_/rsrc/1472781330090/home/Smithfields%2B113.jpg
000005.jpg,http://www.wolfweb.com.au/acd/images/P1010232.jpg
000006.jpg,http://www.wolfweb.com.au/acd/images/tessy.jpg
000007.jpg,https://www.pets4homes.co.uk/images/classifieds/2019/01/28/2196212/large/genuine-norfolk-smithfields-two-dogs-now-availabl-5c66c17952294.jpg
000008.jpg,https://sites.google.com/site/nzsmithfields/_/rsrc/1468740396591/home/Cleo%2029%20Sept%20010.jpg?height=212&width=320
000009.jpg,http://www.bordercolliemuseum.org/BCCousins/Smithfield/ScruffDougStevenson.jpg
000010.jpg,http://www.wolfweb.com.au/acd/images/ernie.jpg
000011.jpg,http://www.campbelltownshow.com.au/wp-content/uploads/2018/05/Smithfield-e1526090327606.jpg
000012.jpg,https://res.cloudinary.com/petrescue/image/upload/h_638,w_638,c_pad,q_auto:best,f_auto/petrescue-production-s3/uploads/pet_photos/2015/4/16/361254_84041_orig.jpg
000013.jpg,http://www.wolfweb.com.au/acd/images/PICT1298smithfield.jpg
000014.jpg,https://sites.google.com/site/nzsmithfields/_/rsrc/1468740398587/home/image.jpg?height=320&width=282
000015.jpg,https://res.cloudinary.com/petrescue/image/upload/h_638,w_638,c_pad,q_auto:best/petrescue-production-s3/uploads/pet_photos/2016/2/9/428347_741c0_orig.jpg
000016.jpg,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45145725/3/?bust=1562463471&width=720
000017.jpg,https://www.pixoto.com/images-photography/animals---dogs/portraits/tasmanian-smithfield-5241478613827584.jpg
000018.jpg,https://sites.google.com/site/smithfieldsheepdog/_/rsrc/1472781331408/home/Smithfields%2B178.jpg?height=268&width=445
000019.jpg,http://www.bordercolliemuseum.org/BCCousins/Smithfield/SmithfieldOldMountains.jpg
000020.jpg,https://fullframeblog.files.wordpress.com/2018/04/three-legged-dog2-p2p.jpg?w=764
000021.jpg,https://www.k9perfection.com.au/wp-content/uploads/2013/06/IMAG0093.jpg
000022.jpg,https://inthevintagekitchen.files.wordpress.com/2012/05/belle_farm.jpg?w=760
000023.jpg,https://content.api.news/v3/images/bin/691f8a3b4c19d92030bfe8588d277dce
000024.jpg,https://i.ytimg.com/vi/N87CingwVdM/hqdefault.jpg
000025.jpg,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45182965/1/?bust=1562414880
000026.jpg,https://i.pinimg.com/236x/76/f4/a0/76f4a0654de166d4a5551369b04167fb--glass-cattle-dogs.jpg
000027.jpg,https://www.worldlydogs.com/uploads/5/2/2/3/52234445/smithfield_orig.png
000028.jpg,https://res.cloudinary.com/petrescue/image/upload/h_638,w_638,c_pad,q_auto:best,f_auto/v1552787902/msktzmadnqiggot6rnti.jpg
000029.jpg,https://c8.alamy.com/comp/A6KN97/bad-hair-day-smithfield-dog-australia-A6KN97.jpg
000030.jpg,http://www.nodramas.eu/images/ajalugu_Chloe,%20a%20Smithfield%20type.jpg
000031.jpg,https://inthevintagekitchen.files.wordpress.com/2012/05/around29.jpg?w=760
000032.jpg,https://wwwcache.wral.com/asset/news/local/2019/07/08/18497628/20190324_185233-DMID1-5jeidf0n1-1920x1080.jpg
000033.jpg,https://www.wavy.com/wp-content/uploads/sites/3/2018/07/dogs_1530845462272_47775768_ver1.0.png
000034.jpg,https://i0.wp.com/www.wdtn.com/wp-content/uploads/sites/45/2018/07/Smithfield_dogs_swipe_mail_carrier_s_lun_0_47766365_ver1.0.jpg?resize=2560%2C1440&ssl=1
000035.jpg,http://4.bp.blogspot.com/-vuM_eBqwa34/Ud9W7KF9oDI/AAAAAAAAArg/mbdUBHBEDv0/s1600/photo.JPG
000036.jpg,https://images.stockfreeimages.com/1707/sfixl/17070426.jpg
000037.jpg,https://www.pets4homes.co.uk/images/classifieds/2017/05/23/1598232/large/norfolk-tumbler-and-smithfield-lurcher-puppies-5932d10917e26.jpg
000038.jpg,http://www.geocities.ws/smithydog123/MattieFaveToys.jpg
000039.jpg,https://sites.google.com/site/smithfieldsheepdog/_/rsrc/1472781330942/home/Smithfields%2B139.jpg?height=786&width=430
