image,source
000001.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/smooth-fox-terrier-card-small.jpg?bust=1535567887
000002.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223945/Smooth-Fox-Terrier-On-White-03-400x267.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223955/Smooth-Fox-Terrier-MP.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/14095809/Smooth_Fox_Terrier2.jpg
000005.jpg,http://static.ddmcdn.com/en-us/apl/breedselector/images/breed-selector/dogs/breeds/smooth-fox-terrier_01_lg.jpg
000006.jpg,https://cdn.shopify.com/s/files/1/0994/0236/files/smooth-fox-terrier_large.jpg?v=1505414413
000007.jpg,https://i.pinimg.com/736x/1d/57/3c/1d573c4db1e914baa433e02bdbe8c532.jpg
000008.jpg,https://www.dogsnsw.org.au/media/img/BrowseAllBreed/Fox-Terrier-Smooth.jpg
000009.jpg,https://www.dogster.com/wp-content/uploads/2016/06/shutterstock_428619130-e1470671854305-600x665.jpg
000010.jpg,https://gfp-2a3tnpzj.stackpathdns.com/wp-content/uploads/2016/07/Fox-Terrier-Smooth-e1533691781361.jpg
000011.jpg,https://dgicdplf3pvka.cloudfront.net/images/dogbreeds/large/Fox-Terrier-Smooth.jpg
000012.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Smooth-Fox-Terrier-1.jpg
000013.jpg,https://animalsadda.com/wp-content/uploads/2016/05/smooth-fox-terrier-4.jpg
000014.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/smooth-fox-terrier-detail.jpg?bust=1535565780&width=355
000015.jpg,https://cdn.omlet.co.uk/images/cache/510/768/Dog-Smooth_Fox_Terrier-A_Smooth_Fox_Terrier_standing_tall,_waiting_for_it's_owner_to_play.jpg
000016.jpg,https://www.dogster.com/wp-content/uploads/2016/06/shutterstock_419395390-600x400.jpg
000017.jpg,http://www.easypetmd.com/sites/default/files/Smooth%20Fox%20Terrier%20(1).jpg
000018.jpg,https://www.vetarena.org/gallery/image-483.l.jpg
000019.jpg,https://www.petbarn.com.au/petspot/app/uploads/2014/01/72.-Fox-Terrier-Smooth.jpg
000020.jpg,https://www.pedigree.com/images/default-source/breed-images/large1d2b078ea3f66930bcd1ff00004ce6f7.jpg?sfvrsn=4bdd6e49_0
000021.jpg,https://doggiedesigner.com/wp-content/uploads/2018/03/61.1.jpg
000022.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2017/11/28/nds_ter_smoothfoxterrier_171120.jpg
000023.jpg,https://www.pets4homes.co.uk/images/breeds/87/large/7783a3776d76d90e43b3f69b914d4b11.jpg
000024.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/03/Fox-Terrier-Smooth.jpg
000025.jpg,https://www.pets4homes.co.uk/images/breeds/87/large/23630f0e9c6549e0e4e43a65090bc6d8.jpg
000026.jpg,https://www.petplanet.co.uk/petplanet/images/breeds/fox_terrier_smooth.jpg
