image,source
000001.jpg,https://images-na.ssl-images-amazon.com/images/I/51TVmJjOoDL.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ae/Softcoated_Wheaten_Terrier_Clio.JPG
000003.jpg,https://i.pinimg.com/originals/5f/8a/96/5f8a96b2794f829700f25a3cf82fdde1.jpg
000004.jpg,http://www.petsworld.in/blog/wp-content/uploads/2014/11/softcoated-wheaten-terrier.jpg
000005.jpg,https://i.pinimg.com/originals/f6/0c/b7/f60cb71c98df16c5774d03fb0676a321.jpg
000006.jpg,https://mypetworld.in/wp-content/uploads/2018/08/soft-coated-wheaten-terrier.jpg
000007.jpg,https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23088_soft-coated-wheaten-terrier-460x290.jpg
000008.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223937/Soft-Coated-Wheaten-Terrier-On-White-01.jpg
000009.jpg,https://planetdetective.com/wp-content/uploads/Soft-Coated-Wheaten-Terrier-Dog-2.jpg
000010.jpg,https://i.ytimg.com/vi/PAT91P4fa5A/maxresdefault.jpg
000011.jpg,https://media.gettyimages.com/photos/soft-coated-wheaten-terrier-picture-id129254124?s=612x612
000012.jpg,https://vetstreet-brightspot.s3.amazonaws.com/f4/021710a80711e0a0d50050568d634f/file/Soft-Coated-Wheaten-Terrier-2-645mk062811.jpg
000013.jpg,https://www.petmd.com/sites/default/files/breedopedia/wheaten%20wolfgang.jpg
000014.jpg,https://www.k9rl.com/wp-content/uploads/2017/02/Soft-Coated-Wheaten-Terrier-dogs.jpg
000015.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Wheaten-2.jpg
000016.jpg,https://ak1.picdn.net/shutterstock/videos/21607321/thumb/1.jpg
000017.jpg,https://www.k9rl.com/wp-content/uploads/2017/02/Soft-Coated-Wheaten-Terrier.jpg
000018.jpg,https://www.pedigree.com/images/default-source/breed-images/largea026078ea3f66930bcd1ff00004ce6f7.jpg?sfvrsn=c6d06e49_0
000019.jpg,https://kbimages1-a.akamaihd.net/4a05a750-d1f7-4016-953b-54627d08bf4d/1200/1200/False/soft-coated-wheaten-terriers-for-beginners.jpg
000020.jpg,https://images-na.ssl-images-amazon.com/images/I/51xyLyIb4AL.jpg
000021.jpg,https://minepuppy.com/wp-content/uploads/2018/03/Soft-Coated-Wheaten-Terrier-dog-breed-minepuppy.jpg
000022.jpg,https://www.petlandkennesaw.com/wp-content/uploads/2017/12/soft-coated-wheaten-terriers-for-sale.jpg
000023.jpg,https://ak4.picdn.net/shutterstock/videos/21607324/thumb/1.jpg
000024.jpg,https://banner2.kisspng.com/20180711/lby/kisspng-soft-coated-wheaten-terrier-bedlington-terrier-bea-lakeland-terrier-rescue-5b464d5b1bbfd1.1372002315313339791137.jpg
000025.jpg,https://previews.123rf.com/images/augustcindy/augustcindy1811/augustcindy181100036/114979763-white-color-soft-coated-wheaten-terrier-dog-with-yellow-hair-around-the-mouth-lying-down-on-the-conc.jpg
000026.jpg,https://i.pinimg.com/originals/e2/39/85/e239850c446a612eb008bdb58bca0c86.jpg
000027.jpg,https://i.ytimg.com/vi/MoOF7ji_mjA/maxresdefault.jpg
000028.jpg,https://i0.wp.com/puppytoob.com/wp-content/uploads/2017/11/Soft-Coated-Wheaten-Terrier-1.jpg?resize=750%2C415
000029.jpg,http://www.dogwallpapers.net/wallpapers/soft-coated-wheaten-terrier-and-his-owner-wallpaper.jpg
000030.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28185159/Soft_Coated_Wheaten_flowers.jpg
000031.jpg,https://comps.canstockphoto.com/cute-face-of-a-wheaten-terrier-puppy-stock-photo_csp60327245.jpg
000032.jpg,https://live.staticflickr.com/45/133932436_bde3b9b2fe_b.jpg
000033.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-RS/softcoatedwheatenterriersf1.jpg
000034.jpg,https://fscomps.fotosearch.com/compc/CSP/CSP214/funny-irish-soft-coated-wheaten-terrier-stock-photo__k21922559.jpg
000035.jpg,https://previews.123rf.com/images/studiotrapeza/studiotrapeza1804/studiotrapeza180400133/99047046-irish-soft-coated-wheaten-terrier-dog-on-isolated-black-background.jpg
