image,source
000001.jpg,http://cdn.akc.org/content/article-body-image/SWD_Hero.jpg
000002.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/26223654/Spanish-Water-Dog.jpg
000003.jpg,https://www.pets4homes.co.uk/images/breeds/242/large/a68e90a662fb90b3deb1b27949c36edd.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/26224010/Spanish-Water-Dog-Care.jpg
000005.jpg,https://cdn.omlet.co.uk/images/cache/614/768/Dog-Spanish_Water_Dog-An_incredible_little_Spanish_Water_Dog_puppy_sitting_neatly.jpg
000006.jpg,https://cdn.omlet.co.uk/images/cache/512/768/Dog-Spanish_Water_Dog-An_adult_Spanish_Water_Dog_sitting_neatly,_waiting_for_a_command.jpg
000007.jpg,https://vetstreet-brightspot.s3.amazonaws.com/06/91/8cde6dd14063a79d1874ba7f183e/dark-brown-spanish-water-dog-ap-6rnyjk-650sm12815.jpg
000008.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Perro_agua.jpg/220px-Perro_agua.jpg
000009.jpg,https://vetstreet-brightspot.s3.amazonaws.com/8f/7a/c54da1624271ac7c5065289c9362/spanish-water-dog-in-grass-ap-0ul7wf-650sm12815.jpg
000010.jpg,https://vetstreet.brightspotcdn.com/dims4/default/e4eab8b/2147483647/crop/646x381%2B0%2B20/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fab%2F08%2F2214f775458b82b70af35b084611%2Fthree-spanish-water-dogs-ap-10i9ti-650sm12815.jpg
000011.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/spanish-water-dog-card-small.jpg?bust=1535567906
000012.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/spanish-water-dog-detail.jpg?bust=1535566634&width=355
000013.jpg,https://cdn.omlet.co.uk/images/cache/1024/682/Dog-Spanish_Water_Dog-A_wonderful_little_Spanish_Water_Dog_lying_down,_ready_to_play.jpg
000014.jpg,https://www.purinaproclub.com/sites/g/files/auxxlc346/files/styles/facebook_share/public/About_Awards_Confirmation_Line%20367_Thumb.jpg?itok=luycyKtr
000015.jpg,http://www.dogzone.com/images/breeds/spanish-water-dog.jpg
000016.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/08/17132420/Spanish-Water-Dog-Outside.jpg
000017.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/11/Spanish-Water-Dog-Images.jpg
000018.jpg,https://img.dog-learn.com/dog-breeds/spanish-water-dog/spanish-water-dog-i1.jpg
000019.jpg,https://www.pets4homes.co.uk/images/breeds/242/large/97434639d6d162336e6611d4bfad3f4e.jpg
000020.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/11/Water-Spanish-Dog.jpg
000021.jpg,https://s3.eu-west-1.amazonaws.com/bmd-production/uploads/0252d5de1c033b532dd405211e6c848a.jpg
000022.jpg,https://dogbreedatlas.com/images/dog-breed-photos/spanish-water-dog/001/spanish-water-dog-1484532166-1.jpg
000023.jpg,https://static1.viovet.co.uk/petphotos/33277_371d6a93455dabfd7c1c50c2e3a1fa2b.jpg
000024.jpg,https://animalsbreeds.com/wp-content/uploads/2016/01/Spanish-Water-Dog-1.jpg
000025.jpg,https://www.pets4homes.co.uk/images/articles/2316/large/the-spanish-water-dog-coat-care-and-variants-54706bb51b119.jpg
000026.jpg,https://www.pets4homes.co.uk/images/articles/3936/large/five-facts-you-probably-didnt-know-about-the-spanish-water-dog-breed-58a20c1c423bd.jpg
000027.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Spanish-Water-Dog-2.jpg
000028.jpg,https://images.ctfassets.net/w00x6p5qkejz/4zYxy4ekt2iKIYS2wwY2eU/211962715d9392de8a54e12694b1cac9/Spanish_Water_Dog2.png
000029.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2018/11/21/nbc_dog_herding_spanishwaterdog_181119.jpg
000030.jpg,https://cdn.omlet.co.uk/images/cache/768/768/Dog-Spanish_Water_Dog-A_close_up_of_a_Spanish_Water_Dog's_incredible_curly_coat.jpg
000031.jpg,https://ameshollowfarm.files.wordpress.com/2018/02/angel-kiss-the-skai-de-ariosa.jpg
000032.jpg,https://i.pinimg.com/originals/7a/ae/47/7aae4706d00aeb40675e3bf4f684916c.jpg
000033.jpg,https://vetstreet-brightspot.s3.amazonaws.com/4d/11/2fff6d6c4b63ba92255293df3bf0/spanish-water-dog-running-ap-0rwplg-650sm12815.jpg
000034.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223859/Spanish-Water-Dog-MP.jpg
000035.jpg,https://www.pets4homes.co.uk/images/breeds/242/large/d670e9cc88f795550f4bc147fb2435c4.jpg
000036.jpg,https://static2.viovet.co.uk/petphotos/713_3f921d5c3c352c49ff0bca129435762a.jpg
000037.jpg,http://www.chanderhillswd.co.uk/CHSWD/wp-content/uploads/2017/06/18.jpg
000038.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/11/Spanish-Water-Dog-Brown.jpg
000039.jpg,https://www.dogzone.com/images/breeds/spanish-water-dog-puppy.jpg
000040.jpg,https://www.vetarena.org/gallery/image-721.l.jpg
000041.jpg,http://www.dogwallpapers.net/wallpapers/two-spanish-water-dogs-photo.jpg
000042.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223907/Spanish-Water-Dog-History-05.jpg
000043.jpg,https://www.pets4homes.co.uk/images/breeds/242/large/db7f7128cc9e257d17d9214e9e9ce6d6.jpg
000044.jpg,https://vetstreet-brightspot.s3.amazonaws.com/dc/15/c72edb1b4d848bb4bdf1ab91b2a6/spanish-water-dog-sitting-closeup-ap-0cmpp0-645sm12815.jpg
000045.jpg,http://www.dogbreedhealth.com/wp-content/uploads/2012/03/Spanish-Water-Dog.jpg
000046.jpg,https://dogsaholic.com/wp-content/uploads/2018/06/Spanish-Water-Dog-puppy-sitting-680x615.jpg
000047.jpg,https://nimages1.champdogs.net/orig/l7910p1.jpg
000048.jpg,http://siggysparadise.com/wp-content/uploads/2018/07/cooper-kennel-spanish-water-dog-breeders.jpg
000049.jpg,https://www.vetarena.org/gallery/image-722.l.jpg
000050.jpg,https://i.ytimg.com/vi/DcWS2Sl1MpI/maxresdefault.jpg
