image,source
000001.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23292_staffordshire-bull-terrier-460x290.jpg
000002.jpg,https://i0.wp.com/metro.co.uk/wp-content/uploads/2019/01/sei_49860955-6ad5-e1548843146353.jpg?quality=90&strip=all&zoom=1&resize=540%2C528&ssl=1
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223754/Staffordshire-Bull-Terrier-On-White-03.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223815/Staffordshire-Bull-Terrier-Care.jpg
000005.jpg,https://www.pets4homes.co.uk/images/articles/5393/large/ten-things-you-need-to-know-about-the-staffordshire-bull-terrier-before-you-buy-one-5cdc34dc2193c.jpg
000006.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6a/Staffordshire-bull-terrier-white-2748733.jpg
000007.jpg,https://vetstreet-brightspot.s3.amazonaws.com/8b/d8/bc65f3304388b7173bc653a6e1af/staffordshire-bull-terrier-ap-40ibel.jpg
000008.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223801/Staffordshire-Bull-Terrier-MP.jpg
000009.jpg,https://vetstreet-brightspot.s3.amazonaws.com/32/8ed0e0a80811e0a0d50050568d634f/file/Staffordshire-Bull-Terrier-1-645mk062811.jpg
000010.jpg,https://thehappypuppysite.com/wp-content/uploads/2019/02/Staffordshire-Bull-Terrier-Vs-Pitbull-long.jpg
000011.jpg,https://img.pixers.pics/pho_wat(s3:700/FO/10/59/65/66/700_FO10596566_7143225fa94b8bcf84c4f70ec14f843d.jpg,647,700,cms:2018/10/5bd1b6b8d04b8_220x50-watermark.png,over,427,650,jpg)/wall-murals-staffordshire-bull-terrier.jpg.jpg
000012.jpg,https://www.thesprucepets.com/thmb/6elc8qO5OknRoil8O2S3fACVkYs=/450x0/filters:no_upscale():max_bytes(150000):strip_icc()/staffordshire-bullterrier-portrait-1132207479-583977ae25f6405e874fa978131f962b.jpg
000013.jpg,https://cdn3-www.dogtime.com/assets/uploads/gallery/stratfordshire-bull-terrior-dog-breed-pictures/fun-10_680-453.jpg
000014.jpg,https://previews.123rf.com/images/evdoha/evdoha1705/evdoha170501532/79036459-english-staffordshire-bull-terrier-five-years-old.jpg
000015.jpg,https://static.independent.co.uk/s3fs-public/thumbnails/image/2017/12/12/14/staffordshire-bull-terrier.jpg?w968h681
000016.jpg,https://img.pixers.pics/pho_wat(s3:700/FO/50/40/94/97/700_FO50409497_3c791e443de95b372b6f14fa7ba69263.jpg,700,700,cms:2018/10/5bd1b6b8d04b8_220x50-watermark.png,over,480,650,jpg)/wall-murals-staffordshire-bull-terrier-dog-lying-down.jpg.jpg
000017.jpg,https://vetstreet.brightspotcdn.com/dims4/default/2279738/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F8c%2Fe4%2F998e114c4e00ae89569bd7e59de7%2Fstaffordshire-bull-terrier-ap-1ss7z1-645.jpg
000018.jpg,https://previews.123rf.com/images/isselee/isselee1305/isselee130500363/19462196-staffordshire-bull-terrier-9-months-old-with-red-collar-standing-isolated-on-white.jpg
000019.jpg,https://www.pets4homes.co.uk/images/articles/4734/large/how-to-train-a-staffordshire-bull-terrier-puppy-5ae185285e71a.jpg
000020.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12221035/Staffordshire-Bull-Terrier-Illo-2.jpg
000021.jpg,https://i.pinimg.com/736x/f3/cb/72/f3cb72066ea3dad1d964587dce8a6722.jpg
000022.jpg,https://e3.365dm.com/17/03/768x432/a15dcff531cef64b225d190fd927c9358c973ddca75641d707bdb3882e748d39_3918917.jpg?20170328201505
000023.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223759/Staffordshire-Bull-Terrier-On-White-01.jpg
000024.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-RS/staffordshirebullterriersf3.jpg
000025.jpg,https://woofdog.org/wp-content/uploads/2017/04/staffordshire-bull-terrier.jpg
000026.jpg,https://c8.alamy.com/comppt/hnk3wg/staffordshire-bull-terrier-hnk3wg.jpg
000027.jpg,https://indulgeyourpet.com/wp-content/uploads/Staffordshire-Bull-Terrier-Puppy.png
000028.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Staff-2.jpg
000029.jpg,https://media.gettyimages.com/photos/headshot-of-a-staffordshire-bull-terrier-puppy-looking-at-the-camera-picture-id954261730?s=612x612
000030.jpg,https://i0.wp.com/www.wagpets.com/wp-content/uploads/2016/12/staffy.jpg?fit=1920%2C1200&ssl=1
000031.jpg,https://i.dailymail.co.uk/i/newpix/2018/07/16/16/0293AE82000004B0-0-image-a-15_1531755024549.jpg
000032.jpg,https://www.warrenphotographic.co.uk/photography/bigs/07793-Brindle-Staffordshire-Bull-Terrier-white-background.jpg
000033.jpg,https://i.ytimg.com/vi/wNWQMs2kRvQ/hqdefault.jpg
000034.jpg,https://www.dogster.com/wp-content/uploads/2015/07/shutterstock_248318266.jpg
000035.jpg,https://www.purina.com/sites/g/files/auxxlc196/files/TERRIER_Miniature-Bull-Terrier.jpg
000036.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Staffordshire_Bull_Terrier_600.jpg/220px-Staffordshire_Bull_Terrier_600.jpg
000037.jpg,https://www.dogspot.in/puppies/images/1341058792.jpg
000038.jpg,https://i.pinimg.com/originals/01/0e/b4/010eb47b582f2b64581d28de1d68d12b.jpg
000039.jpg,http://www.pethealthnetwork.com/sites/default/files/content/images/staffordshire-bull-terrier178992782.png
000040.jpg,https://thumbs.dreamstime.com/z/english-staffordshire-bull-terrier-five-years-old-93234672.jpg
000041.jpg,https://i.ebayimg.com/images/g/xkgAAOSwZB9aFP-0/s-l300.jpg
000042.jpg,https://www.rover.com/blog/wp-content/uploads/2017/06/staffy-hero-960x540.jpg
000043.jpg,https://img.dog-learn.com/dog-breeds/staffordshire-bull-terrier/staffordshire-bull-terrier-i2-sz14.jpg
000044.jpg,https://media.gettyimages.com/photos/staffordshire-bull-terrier-uk-picture-id128104525?s=612x612
000045.jpg,https://www.featurepics.com/StockImage/20080327/staffordshire-bull-terriers-stock-picture-667267.jpg
000046.jpg,https://c8.alamy.com/comp/HNK3WR/staffordshire-bull-terrier-HNK3WR.jpg
000047.jpg,https://images-na.ssl-images-amazon.com/images/I/818Qr%2B0AviL._SX425_.jpg
000048.jpg,https://perfectpets.com.au/uploads/files/getfile/type/breed/id/21/file/12663588825c36bdde3db4e9.50588984-breed-21.JPG
000049.jpg,https://www.timeforpawsblog.co.uk/wp-content/uploads/2019/04/staffordshire-bull-terrier.jpg
000050.jpg,https://www.ufaw.org.uk/images/animal-welfare/staffordshire-main-photo.jpg
