image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Stephens_Cur.jpg/220px-Stephens_Cur.jpg
000002.jpg,https://www.ukcdogs.com/images/breeds/stephens-cur.jpg
000003.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/08/Stephens-Cur-Dogs.jpg
000004.jpg,https://images.wagwalkingweb.com/media/breed/stephens-cur/hero/Stephens-Cur.jpg
000005.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/08/Stephens-Cur.jpg
000006.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/08/Stephens-Cur-Images.jpg
000007.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/08/Stephens-Cur-Pictures.jpg
000008.jpg,https://www.dogbreedinfo.com/images6/Stephens_Stock_Mountain_Cur.jpg
000009.jpg,https://www.petpremium.com/wp-content/uploads/ppbr/breeds/stephens-stock_profile_350x400.jpg
000010.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/08/Stephens-Stock-Mountain-Cur.jpg
000011.jpg,https://www.worldlydogs.com/uploads/5/2/2/3/52234445/2115158_orig.png
000012.jpg,https://www.petpaw.com.au/wp-content/uploads/2015/08/Stephens-Cur-Sniffing.jpg
000013.jpg,https://i.pinimg.com/originals/a0/81/b0/a081b0eff6ccd2f66a6843a4cb2d717a.jpg
000014.jpg,http://i806.photobucket.com/albums/yy341/curdawg10/100_0313.jpg
000015.jpg,https://alchetron.com/cdn/stephens-cur-c7ed6ab7-fb92-47d2-8981-cb1fc9fadc4-resize-750.jpeg
000016.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/10/Stephens-Cur-Pictures.jpg
000017.jpg,https://www.worldlydogs.com/uploads/5/2/2/3/52234445/8266737_orig.png
000018.jpg,https://www.doglib.com/wp-content/uploads/sites/2/st/stephens-gallery-breed.jpg
000019.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/10/Stephens-Cur.jpg
000020.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230641/Mountain-Cur-On-White-01.jpg
000021.jpg,https://ckcusa.com/media/147857/stephens-stock.jpg?preset=ckcBreedImage375
000022.jpg,https://www.petpaw.com.au/wp-content/uploads/2015/08/Female-Stephens-Cur.jpg
000023.jpg,https://www.petpaw.com.au/wp-content/uploads/2015/08/Stephens-Cur-Dog-Side-View-Image.jpg
000024.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/08/Stephens-Cur-Puppy.jpg
000025.jpg,http://i811.photobucket.com/albums/zz37/blackdogmanphotos/IMG_2308.jpg
000026.jpg,https://www.doglib.com/wp-content/uploads/sites/2/st/stephens-index-breed.jpg
000027.jpg,http://i40.tinypic.com/2py9wxy.jpg
000028.jpg,http://www.sqdog.com/forums/uploads/monthly_03_2012/post-302-0-46791300-1331046690_thumb.jpg
000029.jpg,https://animalso.com/wp-content/uploads/2017/11/English-pointer-d-1024x683.jpg
000030.jpg,http://i40.tinypic.com/2h4i9nn.jpg
000031.jpg,https://www.doglib.com/wp-content/uploads/sites/2/st/stephens-printthread-breed.jpg
000032.jpg,https://i.ytimg.com/vi/tnNxH5TgcIE/maxresdefault.jpg
000033.jpg,https://www.doglib.com/wp-content/uploads/sites/2/bl/black-mountain-cur-dog-breed.jpg
000034.jpg,http://www.dogwallpapers.net/wallpapers/stephens-cur-in-the-forest-photo.jpg
000035.jpg,https://www.animalssale.com/uploads/breed/breeds-2/stephenscur.jpg
000036.jpg,http://www.sqdog.com/forums/uploads/monthly_07_2011/post-357-0-40808100-1312067816_thumb.jpg
000037.jpg,https://i.ytimg.com/vi/KJqKQZtGGQw/hqdefault.jpg
000038.jpg,http://prodimage.images-bn.com/pimages/9781981321117_p0_v1_s1200x630.jpg
000039.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/08/Stephens-Stock-Mountain-Cur-Puppies.jpg
000040.jpg,https://bigdogbreeds.info/wp-content/uploads/2019/01/Stephens-Cur-dog-temperament.jpg
000041.jpg,https://www.petpaw.com.au/wp-content/uploads/2015/08/Stephens-Cur-Dog-in-the-Snow.jpg
000042.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/10/Stephens-Cur-Puppy.jpg
000043.jpg,https://www.petpaw.com.au/wp-content/uploads/2015/08/Stephens-Cur-Dog-Side-View.jpg
000044.jpg,https://i.ytimg.com/vi/78qlsok9EYk/hqdefault.jpg
000045.jpg,https://images-na.ssl-images-amazon.com/images/I/51rf--J1CSL._SX425_.jpg
000046.jpg,https://www.doglib.com/wp-content/uploads/sites/2/st/stephens-mountain-cur-puppies-breed.jpg
000047.jpg,http://hounddogsdrule.com/wp-content/Gallery/Stephens-Cur/Stephens-Cur-posing.jpg
000048.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Mtncur.png/220px-Mtncur.png
000049.jpg,https://www.101dogbreeds.com/wp-content/uploads/2014/11/Black-Mountain-Cur.jpg
000050.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2019/05/Stephens-Stock-ready-to-tree-a-coon.jpg
