image,source
000001.jpg,https://www.petguide.com/wp-content/uploads/2018/04/stichelhaar.jpg
000002.jpg,http://1.bp.blogspot.com/-jAuWwMAvDgM/TeP0iSTsyUI/AAAAAAAAAu4/JEpZbVjsHzA/s1600/StichelhaarPoint2.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/0/08/03030288_Deutsch_Stichelhaa.jpg
000004.jpg,https://i.pinimg.com/originals/46/a5/33/46a53303aafd416373512b033483c05b.jpg
000005.jpg,http://1.bp.blogspot.com/-QGjYGaOj5aY/TeP0j4Cg0QI/AAAAAAAAAu8/PXswoGfbAI8/s1600/Stichelhaar-run.jpg
000006.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/02/German-Wirehaired-Pointer.jpg
000007.jpg,https://www.petguide.com/wp-content/uploads/2018/04/stichelhaar-1.jpg
000008.jpg,https://www.mascotarios.org/wp-content/uploads/2011/09/Stichelhaar.jpg
000009.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/02/Stichelhaar-Images.jpg
000010.jpg,https://wds2018.com/wp-content/uploads/2017/05/Duitse-Staande-Hond-Stekelhaar_2.jpg
000011.jpg,http://1.bp.blogspot.com/-OdNn52ZEeRQ/TeP0fCFQtAI/AAAAAAAAAuw/FTnQibHfAJg/s1600/Stichelhaar.jpg
000012.jpg,https://i.pinimg.com/originals/d9/4a/90/d94a9074c61c8e4046eab3f22e77a39d.jpg
000013.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/02/German-Roughhaired-Pointer.jpg
000014.jpg,https://www.petguide.com/wp-content/uploads/2018/04/stichelhaar-2.jpg
000015.jpg,https://image.jimcdn.com/app/cms/image/transf/dimension=666x10000:format=jpg/path/sf8e1df8056971d21/image/ifa36d87b1010a6ca/version/1541109405/image.jpg
000016.jpg,http://www.tiptopglobe.com/big-photo/german-roughhaired-pointing-dog-standard-1.jpg
000017.jpg,https://images.puppyfinder.com/Breed/a/a/9/aa95768237a151dc_757_image1_medium.jpg
000018.jpg,https://media.gettyimages.com/photos/rassehund-deutsch-stichelhaar-undatiertverffentlicht-grne-post-61927-picture-id542943541
000019.jpg,https://magazin.edogs.de/wp-content/uploads/2017/10/deutsch-stichelhaar-e1513071033673.jpg
000020.jpg,http://stichelhaar.braquedubourbonnais.info/4.jpg
000021.jpg,http://www.grumpi.de/cache/com_zoo/images/deutsch-stichelhaar_8757c441d83e41107c1b6e9e580d4003.jpg
000022.jpg,http://www.europetnet.com/images/dogbreeds/germanroughhairedpointer.jpg
000023.jpg,https://c8.alamy.com/comp/AJRJY7/german-broken-coated-pointing-dog-deutsch-stichelhaar-deutscher-stichelhaariger-AJRJY7.jpg
000024.jpg,https://i.ebayimg.com/images/g/h9cAAOSwt7hZcIn5/s-l400.jpg
000025.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/02/Stichelhaar-Pictures.jpg
000026.jpg,https://cdn.imgbin.com/19/23/11/imgbin-wirehaired-pointing-griffon-german-wirehaired-pointer-esk-fousek-picardy-spaniel-deutsch-stichelhaar-others-A5w9x3dG5dybpc2HN9T9Qyaq6.jpg
000027.jpg,https://i.ebayimg.com/images/g/n-oAAOxyzGlQ4r4T/s-l300.jpg
000028.jpg,https://live.staticflickr.com/2752/4268701472_bb352bc3bc.jpg
000029.jpg,http://stichelhaar.braquedubourbonnais.info/5.jpg
000030.jpg,https://www.picclickimg.com/d/l400/pict/183730045952_/DOG-German-Roughhaired-Pointer-Deutsch-Stichelhaar-Vintage-Print.jpg
000031.jpg,https://image.jimcdn.com/app/cms/image/transf/dimension=1920x400:format=jpg/path/sc8f8c585f1abdecb/image/icd3d1ab2f2ca52c6/version/1546594632/image.jpg
000032.jpg,http://www.verein-deutsch-stichelhaar.de/mediapool/89/890107/images/Titelbild%20UR%2003_2016.jpg
000033.jpg,https://wildundhund.de/wp-content/uploads/sites/2/2017/04/griffonpudelpointerdeutschstichel_15_2005-7.jpg
000034.jpg,https://www.wildhueter-st-hubertus.de/wp-content/wsh-upload/2018/03/8-2.png
000035.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/10/German-Wirehaired-Pointer.jpg
000036.jpg,http://www.adopt-a-griffon.eu/en/wp-content/uploads/2016/01/pointing-dogs.jpg
000037.jpg,https://alchetron.com/cdn/stichelhaar-029a9574-f4b6-4a1e-80c5-5ffb36c4524-resize-750.jpeg
000038.jpg,https://thumbs.dreamstime.com/z/th-international-dog-show-girona-spain-stichelhaar-march-112486496.jpg
000039.jpg,https://dogbreedcartoon.com/wp-content/uploads/2016/12/Stichelhaar-Special.png
000040.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/02/Stichelhaar-Puppies.jpg
000041.jpg,http://en.top-dog.pro/uploaded/breed_article_images/1a/07/2d/2c/96/b9/20/5b/4b/75/fc/7c/ee/c8/7d/65/27ebbd60d6bf932bec026ec6d1e92895.jpg
000042.jpg,http://www.verein-deutsch-stichelhaar.de/mediapool/89/890107/images/FOTOS/Aika%20vom%20Werretal_9400_k.jpg
000043.jpg,https://i.ytimg.com/vi/AaD_WqO619g/hqdefault.jpg
000044.jpg,http://www.animal-photography.com/AP-00MUHO-LR-wm.jpg
000045.jpg,https://lh4.googleusercontent.com/-GV-qgJtb5SA/USEldNi6X1I/AAAAAAAAHK0/Bm0seu8eW2w/s800/WVFinal-18.jpg
000046.jpg,https://wamiz.co.uk/media/cache/resolve/og_shared_image/animal/breed/dog/adult/5cd1935d35209958957489.jpg
000047.jpg,https://upload.wikimedia.org/wikipedia/commons/0/02/Hiska_vom_Greifenhagen.jpg
000048.jpg,https://www.cani.com/sites/default/files/imagecache/column_width/131.jpg
000049.jpg,https://i.pinimg.com/originals/c3/cb/9c/c3cb9c25fb35f58ce1ba6d5859f0b4fd.jpg
000050.jpg,https://www.assuropoil.fr/wp-content/uploads/Stichelhaar.jpeg
