image,source
000001.jpg,https://www.pets4homes.co.uk/images/breeds/397/large/859785f6d8ff45c8b4fa1409a7127f11.jpg
000002.jpg,https://www.skk.se/globalassets/nku/filer/images/nordic-breeds/svensk_lapphund.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223641/Swedish-Lapphund-On-White-01.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12193246/Swedish-Lapphund-MP.jpg
000005.jpg,https://vetstreet-brightspot.s3.amazonaws.com/c3/a51a30c82411e09b940050568d6ceb/file/Swedish-Lapphund-1-AP-645km081611.jpg
000006.jpg,https://vetstreet.brightspotcdn.com/dims4/default/2d081c5/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fb6%2F83%2F4634048c4cdb85c8f5462f89433e%2Fswedish-lapphund-3.jpg
000007.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0f/Svensk_lapphund.JPG
000008.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12193232/Swedish-Lapphund-History-05.jpg
000009.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Swedish-Lapphund-1.jpg
000010.jpg,https://images2.minutemediacdn.com/image/upload/c_fill,g_auto,h_1248,w_2220/f_auto,q_auto,w_1100/v1555324411/shape/mentalfloss/5338931307_75c21e7c7c_z_0.jpg
000011.jpg,https://i.pinimg.com/originals/f1/8a/93/f18a939db1142497f25ed11680682b06.jpg
000012.jpg,https://www.pets4homes.co.uk/images/breeds/397/large/d8726538f9bbe6832463d780f70edc6c.jpg
000013.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Swedish-Lapphund-2.jpg
000014.jpg,http://breedfinder.ikc.ie/Content/images/breeds/156_swedish_lapphund.jpg
000015.jpg,http://www.gopetsamerica.com/dog_breeds/swedish-lapphund-2.jpg
000016.jpg,https://i.ytimg.com/vi/WT3lBQY4DQM/maxresdefault.jpg
000017.jpg,https://dogwellnet.com/uploads/monthly_2016_07/swlap.png.9cb87da0eb7caf83330013773784861c.png
000018.jpg,https://nimages.champdogs.net/breeds/swedish-lapphund.jpg
000019.jpg,https://vignette.wikia.nocookie.net/akc-dog-breeds/images/4/48/Svensklapphundcmyk.jpg/revision/latest?cb=20180408201025
000020.jpg,https://vetstreet-brightspot.s3.amazonaws.com/d6/8cbb80c82411e09b940050568d6ceb/file/Swedish-Lapphund-2-AP-645km081611.jpg
