image,source
000001.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12211633/Swedish-Vallhund-on-White-01.jpg
000002.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/swedish-vallhund-dog-breed-pictures/faceside-1_680-453.jpg
000003.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Swedish-Vallhund-2.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223636/Swedish-Vallhund-Care.jpg
000005.jpg,https://cdn2-www.dogtime.com/assets/uploads/2014/06/file_23298_Swedish-Vallhund-dog-breed.jpg
000006.jpg,https://vetstreet.brightspotcdn.com/dims4/default/2406402/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F3e%2F7adf60c82511e09b940050568d6ceb%2Ffile%2FSwedish-Vallhund-1-645km081611.jpg
000007.jpg,https://upload.wikimedia.org/wikipedia/commons/0/03/V%C3%A4stg%C3%B6taspets_hane_5_%C3%A5r.jpg
000008.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Swedish-Vallhund-3.jpg
000009.jpg,https://3.bp.blogspot.com/-JgLRQBHJfhE/WhSpYVSJwpI/AAAAAAAAGv0/ILU8GBVazBos1OspnDaPSRXVfuE55WiggCLcBGAs/s1600/Swedish-Vallhund.jpg
000010.jpg,https://www.petbarn.com.au/petspot/app/uploads/2016/08/SwedishVallhund.jpg
000011.jpg,https://www.petguide.com/wp-content/uploads/2015/02/swedish-vallhund.jpg
000012.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223633/Swedish-Vallhund-MP.jpg
000013.jpg,https://i.pinimg.com/originals/ed/b9/33/edb933cbda54641ce3a171bf48a28bde.jpg
000014.jpg,https://image.jimcdn.com/app/cms/image/transf/none/path/sfc670e91cd82bc93/image/iecfd5eb1dfb51cc4/version/1553627711/image.jpg
000015.jpg,https://vetstreet.brightspotcdn.com/dims4/default/0367c4b/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F64%2F9d%2F3188a718415d899a1a2a0fad852b%2FSwedish-Vallhund-AP-EFDX8M-645sm12714.jpg
000016.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/V%C3%A4stg%C3%B6taspets1.jpg/291px-V%C3%A4stg%C3%B6taspets1.jpg
000017.jpg,https://media.mnn.com/assets/images/2018/02/swedish_vallhund_headshot.jpg.838x0_q80.jpg
000018.jpg,https://i.ytimg.com/vi/gTcYaW14wH4/maxresdefault.jpg
000019.jpg,https://i.ytimg.com/vi/MvXuaOb1SMA/maxresdefault.jpg
000020.jpg,https://www.thesprucepets.com/thmb/rCVEQXP5S3tg5xz0IJUtR10iIUs=/450x0/filters:no_upscale():max_bytes(150000):strip_icc()/portrait-of-swedish-vallhund-standing-on-field-638709497-5bdb7ec446e0fb0051dff725.jpg
000021.jpg,https://images.ctfassets.net/w00x6p5qkejz/1azJz35AqgECwE0go4Uy0E/9ebaf8d77612ff1f61aaf028f3241fa0/Swedish_Vallhund4.png
000022.jpg,http://knowledgebase.lookseek.com/images/animals/dogs/Swedish-Vallhund.jpg
000023.jpg,https://nimages.champdogs.net/breeds/swedish-vallhund.jpg
000024.jpg,https://vetstreet-brightspot.s3.amazonaws.com/51/a8ff90c82511e09b940050568d6ceb/file/Swedish-Vallhund-2-645km081611.jpg
000025.jpg,http://www.dogzone.com/images/breeds/swedish-vallhund.jpg
000026.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Swedish-Vallhund-1.jpg
000027.jpg,https://www.smalldogplace.com/images/family-resemblance.jpg
000028.jpg,https://i1.adis.ws/i/petsathome/SwedishVallhund-Outdoors.jpg?qlt=75
000029.jpg,https://animals.net/wp-content/uploads/2018/08/Swedish-Vallhund-5-650x425.jpg
000030.jpg,https://www.petmd.com/sites/default/files/breedopedia/swedish_vallhund.jpg
000031.jpg,https://www.101dogbreeds.com/wp-content/uploads/2015/09/Swedish-Vallhund-Images.jpg
000032.jpg,https://images.ctfassets.net/w00x6p5qkejz/7CdsSLwjTyC0QS2KQmgugY/6f590a38cb8f0ae9069df3ec2c250ef3/Swedish_Vallhund1.png
000033.jpg,https://primitivedogs.com/wp-content/uploads/2016/08/Swedish-Vallhund-featured.jpg
000034.jpg,https://www.researchgate.net/profile/Orhan_Yilmaz5/publication/263847912/figure/fig1/AS:392504856858642@1470591858484/Examples-of-Swedish-Vallhund-Dogs.png
000035.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2017/11/28/nds_her_spanishvallhund_171120.jpg
000036.jpg,https://vignette.wikia.nocookie.net/puppypedia/images/b/bc/Swedish-Vallhund.jpg/revision/latest?cb=20140414212728
000037.jpg,https://img.freepik.com/free-photo/swedish-vallhund-studio_87557-3067.jpg?size=626&ext=jpg
000038.jpg,https://s3-eu-west-1.amazonaws.com/w3.cdn.gpd/gb.pedigree.56/large_c9456998-831a-4afd-bad5-d30a992aeba4.jpg
000039.jpg,https://comps.canstockphoto.com/swedish-vallhund-in-studio-stock-photo_csp51773321.jpg
000040.jpg,https://animals.net/wp-content/uploads/2018/08/Swedish-Vallhund-3-650x425.jpg
000041.jpg,http://bib.ge/dogs/big/1733.jpg
000042.jpg,http://static.pedigreedatabase.com/dogbreeds/swedish_vallhund.jpg
000043.jpg,https://dogsaholic.com/wp-content/uploads/2016/08/Swedish-Vallhund-dog-breed-810x384.jpg
000044.jpg,https://www.101dogbreeds.com/wp-content/uploads/2015/09/Swedish-Vallhund-Dogs.jpg
000045.jpg,https://i.chzbgr.com/full/9022473728/hF5AB3605/
000046.jpg,https://www.pets4homes.co.uk/images/articles/3903/finding-out-more-about-the-swedish-vallhund-dog-breed-5894c203178db.jpg
000047.jpg,https://i.pinimg.com/originals/02/de/c7/02dec7da45a736ef1c342c3eb33ba9eb.jpg
000048.jpg,http://www.orijen.co.nz/images/breeders/Swedish%20side%20shot%202017-10-02%20at%204.23.20%20PM_New.png
000049.jpg,https://thisnzlife.co.nz/wp-content/uploads/2016/06/FeatureVallhundDogsLB-5.jpg
000050.jpg,http://primitivedogs.com/wp-content/uploads/2016/08/Westerngothia-Spitz-Dog.jpg
