image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Pharaoh_Hound_near_river.jpg/400px-Pharaoh_Hound_near_river.jpg
000002.jpg,https://i.pinimg.com/originals/62/f5/77/62f577aa5884e785705aa907196863ea.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4d/Double_canoes._Tipaerua%2C_1769-71_%28crop_of_dog%29.jpg
000004.jpg,https://i.pinimg.com/originals/88/83/80/888380b898c06a8c6a54d9e8034864b6.jpg
000005.jpg,http://www.easypetmd.com/sites/default/files/beardog%20(2).jpg
000006.jpg,http://5cense.com/15/441/14_rasta_dog.jpg
000007.jpg,http://www.easypetmd.com/sites/default/files/beardog.jpg
000008.jpg,https://c8.alamy.com/comp/AEB4NH/local-tahitian-dog-waiting-to-go-divng-rangirora-tahiti-2002-AEB4NH.jpg
000009.jpg,https://i.ytimg.com/vi/4njJBqxRNqY/hqdefault.jpg
000010.jpg,https://www.boraboraislandguide.com/images/tahiti-culture-0018-dog-raiatea.jpg
000011.jpg,https://i.pinimg.com/236x/a3/9a/91/a39a91347789d1151c0582e39e1a25e0--amazing-dogs-beautiful-dogs.jpg?nii=t
000012.jpg,https://upload.wikimedia.org/wikipedia/commons/9/93/Otago_Museum_Kuri_-_OMNZVT2162_03_%28cropped%29.jpg
000013.jpg,https://imgc.artprintimages.com/img/print/tahitian-idyll-two-women-in-idyllic-scenery-with-orange-dog-1892_u-l-p12szw0.jpg?h=550&w=550
000014.jpg,http://www.easypetmd.com/sites/default/files/beardog%20(1).jpg
000015.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7a/Polynesian_dog%2C_in_%27A_view_of_Huaheine%27_by_John_Webber.jpg
000016.jpg,https://m.media-amazon.com/images/I/51VQ4XMiEZL._SS500_.jpg
000017.jpg,https://thebark.com/sites/default/files/styles/full/public/mills_parke_paradisesea604x192b.jpg?itok=nKWTRlSz
000018.jpg,https://photos.bringfido.com/restaurants/0/1/5/40510/40510_111753.jpg?size=tile&density=2x
000019.jpg,https://mapio.net/images-p/10785260.jpg
000020.jpg,https://i.ebayimg.com/images/g/AcQAAOSwUn9aQbi9/s-l640.jpg
000021.jpg,http://tahitivillageftp.aspdevhub.com/wp-content/uploads/blog/pet-friendly-destinations-las-vegas.jpg
000022.jpg,https://images-na.ssl-images-amazon.com/images/I/61HYlxP0HLL._SL1200_.jpg
000023.jpg,https://dogzone-tcwebsites.netdna-ssl.com/wp-content/uploads/2016/07/white-dog-on-beach.jpg
000024.jpg,http://bymyroad.com/wp-content/uploads/2016/08/2013-07-08-15h52m07-1024x768.jpg
000025.jpg,https://www.pgcruises.com/sites/default/files/11719_Destinations_hmpg-slider_1640x824.jpg
000026.jpg,http://www.easypetmd.com/sites/default/files/beardog%20(3).jpg
000027.jpg,https://www.tahitivillage.com/wp-content/uploads/2015/07/dog-carrying-suitcase.jpg
000028.jpg,https://render.fineartamerica.com/images/rendered/default/acrylic-print/8.000/6.375/hangingwire/break/images/artworkimages/medium/2/two-tahitian-women-and-a-dog-tahitian-leemage.jpg
000029.jpg,https://img.chewy.com/is/image/catalog/95474_MAIN._AC_SL1500_V1508971668_.jpg
000030.jpg,https://images.fineartamerica.com/images/artworkimages/mediumlarge/2/two-tahitian-women-and-a-dog-tahitian-leemage.jpg
000031.jpg,https://images.wagwalkingweb.com/media/daily_wag/name_guides/%7Bslug%7D/hero/1541076336.4/polynesian-mythology-dog-names.jpg
000032.jpg,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/7e0eae7f-55af-4584-adcf-8c0f1bc15327/d67pxlg-0129a077-3068-4d59-9c62-5f04995d457d.jpg/v1/fill/w_376,h_250,q_70,strp/stray_tahitian_dog_by_pinchofpixeldust_d67pxlg-250t.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9NjgxIiwicGF0aCI6IlwvZlwvN2UwZWFlN2YtNTVhZi00NTg0LWFkY2YtOGMwZjFiYzE1MzI3XC9kNjdweGxnLTAxMjlhMDc3LTMwNjgtNGQ1OS05YzYyLTVmMDQ5OTVkNDU3ZC5qcGciLCJ3aWR0aCI6Ijw9MTAyNCJ9XV0sImF1ZCI6WyJ1cm46c2VydmljZTppbWFnZS5vcGVyYXRpb25zIl19.SQ-pIqtD9iRf4yRhjamHSd-mFy5Bxxt88t9-5LjYdiY
000033.jpg,https://static.wixstatic.com/media/c2e2bd_c6c266dcca784e81acd6bc414326f898~mv2_d_2895_2474_s_4_2.jpg
000034.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Karol%C3%ADnsk%C3%BD_Pes2.jpeg/220px-Karol%C3%ADnsk%C3%BD_Pes2.jpeg
000035.jpg,https://i.ebayimg.com/images/g/-88AAOSw5dlaQb0R/s-l300.jpg
000036.jpg,https://company.justfoodfordogs.com/wp-content/uploads/bfi_thumb/Heat-Exhaustion_Blog-Thumbnail-38v2lwt3bem8msyz4vjugw.jpg
000037.jpg,https://www.ace-petnames.com/images/istockcutedog.jpg
000038.jpg,https://www.visitdublin.com/getmedia/04e5cbd3-b7a6-46d6-bf3a-701d08c7866c/810x400_running-dog-joe-caione-781415-unsplash.jpg.aspx
000039.jpg,http://www.unleashedcreationspetspa.com/images/daycare_slide-6a-crop-u13453.jpg?crc=513644209
000040.jpg,https://static.wixstatic.com/media/c2e2bd_12ebca3eb7274c84a43151eae32ff1f7~mv2_d_3358_3079_s_4_2.jpg
000041.jpg,https://farm1.static.flickr.com/9/13239735_77067eab9f_b.jpg
000042.jpg,https://cdn.shopify.com/s/files/1/1140/4312/products/mhmmmmmm024_600x.jpg?v=1562200942
000043.jpg,https://i0.wp.com/www.spiritofargo.com/wp-content/uploads/2019/02/1.-Quinn-on-boat.jpg?resize=630%2C691
000044.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12190028/Karelian-Bear-Dog-Histoty-03.jpg
000045.jpg,https://i0.wp.com/www.callagold.com/wp-content/uploads/2018/06/Lex-Graham-Graham-Brothers-Jewelers-Amarillo-TX.-Pound-dog.jpg
000046.jpg,https://dogzone-tcwebsites.netdna-ssl.com/wp-content/uploads/2016/07/hawaiian-dog-names.jpg
000047.jpg,http://www.easypetmd.com/sites/default/files/beardog%20(8).jpg
000048.jpg,https://pet-uploads.adoptapet.com/5/f/7/258112009.jpg
000049.jpg,https://photos.michaelbonocore.com/w:2000/h:1334/q:auto/https://www.michaelbonocore.com/wp-content/uploads/2017/08/Tahiti-2016773-Edit.jpg
000050.jpg,https://cdn.shopify.com/s/files/1/1140/4312/products/36379815_217480935748782_4512985909028716544_n_31c92311-d172-455d-9be0-3b565ddc101f_large.jpg?v=1560060485
