image,source
000001.jpg,https://images-na.ssl-images-amazon.com/images/I/51ZniesVlQL._SX450_.jpg
000002.jpg,https://www.petguide.com/wp-content/uploads/2017/04/taigan-dog.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2a/Taigan.jpg
000004.jpg,https://thumbs.dreamstime.com/z/taigan-kyrgyz-sighthound-sitting-green-grass-member-family-eastern-sighthounds-very-rare-dog-breed-reported-91579123.jpg
000005.jpg,https://live.staticflickr.com/6206/6143229999_39c2330120_b.jpg
000006.jpg,https://i.pinimg.com/originals/0a/9f/5c/0a9f5c6684604ecc604bbd4e4f744ce7.jpg
000007.jpg,https://live.staticflickr.com/2386/2174037651_111f47d85c.jpg
000008.jpg,https://www.dogbreedinfo.com/images21/TaiganGulshin08.jpg
000009.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/04/Taigan-Hound.jpg
000010.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/04/Kyrgyz-Taigan.jpg
000011.jpg,https://i.pinimg.com/originals/e1/70/8a/e1708a5afebf9b658212e4f60abbc891.jpg
000012.jpg,http://i2.wp.com/2seecrimea.com/wp-content/uploads/2015/10/taigan-safari-43.jpg
000013.jpg,https://d1yn1kh78jj1rr.cloudfront.net/image/preview/BPLkrY1Winka460n/storyblocks-taigan-is-a-member-of-the-family-of-eastern-sighthounds-the-taigan-is-a-very-rare-dog-breed-reported-about-few-hundred-worldwide-selective-focus-on-the-dog_ryzVAjVBdz_SB_PM.jpg
000014.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/04/Taigan-Photos.jpg
000015.jpg,https://live.staticflickr.com/3024/2793940381_6ed50dc777.jpg
000016.jpg,https://images.ctfassets.net/w00x6p5qkejz/3HAk5gsO4w6IkCiUISUswc/a2483bb529d51c0a0c047ac1c3269b67/Taigan_B_W_Small_File.png
000017.jpg,http://www.dogwallpapers.net/wallpapers/hunting-taigan-dog-photo.jpg
000018.jpg,https://www.dogbreedinfo.com/images21/TaiganGulshin09.jpg
000019.jpg,http://worldnomadgames.com/media/images/sport_types/IMG_0165.jpg
000020.jpg,https://media-cdn.tripadvisor.com/media/photo-s/0f/61/af/f4/img-20170428-200204-523.jpg
000021.jpg,https://thumbs.dreamstime.com/z/two-kyrgyzian-sight-hound-taigan-dogs-sitting-green-gras-member-family-eastern-sighthounds-very-rare-dog-95427308.jpg
000022.jpg,https://media-cdn.tripadvisor.com/media/photo-s/14/39/94/e2/img-20180819-222218-721.jpg
000023.jpg,http://discovery-kyrgyzstan.com/archive/2005/images/q65.jpg
000024.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/04/Taigan-Images.jpg
000025.jpg,https://www.doglib.com/wp-content/uploads/sites/2/ta/taigan-caesar-of-king-harald-v-of-norway-breed.jpg
000026.jpg,http://visittoukraine.com/uploads/images/tours/taigan.jpg
000027.jpg,https://c8.alamy.com/comp/F2Y7WJ/crimea-russia-26th-aug-2015-lions-in-taigan-safari-park-in-the-town-F2Y7WJ.jpg
000028.jpg,https://previews.123rf.com/images/hgalina/hgalina1507/hgalina150700068/42343453-lying-lion-safari-park-taigan-lions-park-crimea-russia.jpg
000029.jpg,https://www.dwzrv.com/files/eingangsbildtaigan_neu.jpg
000030.jpg,https://media.gettyimages.com/photos/lion-at-the-taigan-safari-park-sergei-malgavkotass-picture-id1028555942
000031.jpg,https://englishrussia.com/images/newpictures/Taigan-lion-park-releases-lions//0_14bd1d_ce85670b_XXL_full.jpg
000032.jpg,http://www2.tulpar.pl/files2/92731/sultan.jpg
000033.jpg,https://i.ytimg.com/vi/I_W8xkcXtR8/maxresdefault.jpg
000034.jpg,http://crimeaholidays.com/wp-content/uploads/2016/12/saf.jpg
000035.jpg,https://media-cdn.tripadvisor.com/media/photo-s/14/09/2f/76/photo5jpg.jpg
000036.jpg,https://cdn.pixabay.com/photo/2018/08/07/22/31/crimea-3590942_960_720.jpg
000037.jpg,https://image.shutterstock.com/z/stock-photo-taigan-is-a-member-of-the-family-of-eastern-sighthounds-the-taigan-is-a-very-rare-dog-breed-1035998989.jpg
000038.jpg,https://previews.123rf.com/images/hgalina/hgalina1507/hgalina150700070/42343455-sleeping-lion-safari-park-taigan-lions-park-crimea-.jpg
000039.jpg,https://c8.alamy.com/comp/JWW38A/crimea-russia-13th-aug-2017-newborn-white-lion-cubs-at-taigan-safari-JWW38A.jpg
000040.jpg,http://sputnikimages.com/images/0001/1416/38/000114163875_RIAN-ID-5523409.jpg
000041.jpg,https://st3.depositphotos.com/13763394/16740/i/1600/depositphotos_167404622-stock-photo-lions-in-the-safari-park.jpg
000042.jpg,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/91874587-4732-45a4-803c-6b9004c46d62/dbyni58-6ad40019-1462-4efb-b951-2d4c3701290e.jpg/v1/fill/w_919,h_869,q_70,strp/taigan_by_vonkaltetal_dbyni58-pre.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9OTY4IiwicGF0aCI6IlwvZlwvOTE4NzQ1ODctNDczMi00NWE0LTgwM2MtNmI5MDA0YzQ2ZDYyXC9kYnluaTU4LTZhZDQwMDE5LTE0NjItNGVmYi1iOTUxLTJkNGMzNzAxMjkwZS5qcGciLCJ3aWR0aCI6Ijw9MTAyNCJ9XV0sImF1ZCI6WyJ1cm46c2VydmljZTppbWFnZS5vcGVyYXRpb25zIl19.XBC--QY2c0KvJQJklo4kY4Rk1TsnotMfQN5Gu2VttDk
