image,source
000001.jpg,https://www.straitstimes.com/sites/default/files/styles/article_pictrure_780x520_/public/articles/2018/08/12/yq-taiwan-12082019.jpg?itok=UHJNS8W3&timestamp=1534063840
000002.jpg,https://www.aljazeera.com/mritems/imagecache/mbdxxlarge/mritems/Images/2019/4/18/96c284fc3fd74c409561e5511be03556_18.jpg
000003.jpg,https://ichef.bbci.co.uk/news/660/cpsprodpb/11D35/production/_102231037_hi036964667.jpg
000004.jpg,https://www.thenational.ae/image/policy:1.690678:1514288027/bz26-DEC-Taiwan.jpg?f=16x9&w=1200&$p$f$w=0d298dc
000005.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Taipei%2C_Taiwan_CBD_Skyline.jpg/300px-Taipei%2C_Taiwan_CBD_Skyline.jpg
000006.jpg,https://9to5mac.com/wp-content/uploads/sites/6/2019/01/Apple-Hong-Kong.jpg?quality=82&strip=all
000007.jpg,https://www.thoughtco.com/thmb/k9ZjyAKTGtHBSPR9vtVhWIYAzmg=/768x0/filters:no_upscale():max_bytes(150000):strip_icc()/aerial-view-of-cityscape-at-taipei-center-district--taiwan-861177234-5b7f14a446e0fb005087f1e3.jpg
000008.jpg,https://cdn.i-scmp.com/sites/default/files/styles/1200x800/public/d8/images/methode/2019/04/18/b37eeb58-619c-11e9-b745-17e2afcf325c_image_hires_202421.jpg?itok=9U8VY1Qy&v=1555590267
000009.jpg,https://tnimage.taiwannews.com.tw/photos/shares/5b923c8eea3bb.jpg
000010.jpg,http://www.go2taiwan.net/img/place-main-1.jpg
000011.jpg,https://i2.wp.com/thebohochica.com/wp-content/uploads/2019/03/ACS_0075.jpg?fit=1050%2C702&ssl=1
000012.jpg,https://www.worldatlas.com/r/w728-h425-c728x425/upload/3c/e1/38/shutterstock-425692558.jpg
000013.jpg,https://images.theconversation.com/files/230663/original/file-20180805-41351-mshy7z.jpg?ixlib=rb-1.1.0&q=45&auto=format&w=926&fit=clip
000014.jpg,https://cdn.japantimes.2xx.jp/wp-content/uploads/2019/03/n-taiwan-z-20190322-870x581.jpg
000015.jpg,https://sa.kapamilya.com/absnews/abscbnnews/media/2018/overseas/02/08/taiwan-tower-rtr-2018-020818.jpg
000016.jpg,https://www.designboom.com/wp-content/uploads/2018/10/Aedas-national-trade-center-taiwan-designboom-600.jpg
000017.jpg,https://www.intrepidtravel.com/sites/intrepid/files/styles/low-quality/public/elements/product/hero/CJZT-Taiwan-Jiufen-street_691519411.jpg
000018.jpg,https://www.visitbritain.org/sites/default/files/taiwan.png
