image,source
000001.jpg,https://i.pinimg.com/originals/cd/5b/37/cd5b37c51142436bb9120beff0f1c8ae.jpg
000002.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12190133/Teddy-Roosevelt-Terrier-on-White-01.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12190127/Teddy-Roosevelt-Terrier-Care-500x749.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12193203/Teddy-Roosevelt-Terrier-MP.jpg
000005.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Teddyterrier.jpg/220px-Teddyterrier.jpg
000006.jpg,http://www.pedigreedatabase.com/gallerypictures/171616.jpg
000007.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2017/08/teddy.jpg
000008.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/12/Teddy-Roosevelt-Terriers.jpg
000009.jpg,https://static.wixstatic.com/media/953da5_749a5748cdca4a68920f25774a11166d~mv2.jpg/v1/fit/w_2500,h_1330,al_c/953da5_749a5748cdca4a68920f25774a11166d~mv2.jpg
000010.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/12/Teddy-Roosevelt-Terrier-Mix.jpg
000011.jpg,http://dogzonenyc.com/wp-content/uploads/Teddy-Roosevelt-Terrier.jpg
000012.jpg,https://researchbreeder.com/images/Breed%20Pictures/T/Teddy-Roosevelt-Terrier.jpg
000013.jpg,http://www.ramblingterriers.com/resources/Shadoweb.jpg
000014.jpg,https://www.dogbreedinfo.com/images25/TeddyRooseveltTerrierDogsTeensyMarieWest3YearsOld1.jpg
000015.jpg,https://i.pinimg.com/originals/43/25/53/432553dbb0bfb21d13ae39bb122c2db3.jpg
000016.jpg,https://www.dogbreedinfo.com/images25/TeddyRooseveltTerrierPurebredDogsCid.jpg
000017.jpg,https://doggiedesigner.com/wp-content/uploads/2018/02/61-300x247.jpg
000018.jpg,https://www.dogbreedplus.com/dog_breeds/images/teddy_roosevelt-_terrier_004.jpg
000019.jpg,https://i.ytimg.com/vi/FvoHRpq6BBc/maxresdefault.jpg
000020.jpg,http://dynamotrt.com/resources/DSCN2483.JPG
000021.jpg,https://www.petpaw.com.au/wp-content/uploads/2015/06/Teddy-Roosevelt-Terrier-on-the-Show.jpg
000022.jpg,https://doggiedesigner.com/wp-content/uploads/2018/02/teddy-roosevelt-terrier-1-e1518267739188.jpg
000023.jpg,http://www.pedigreedatabase.com/pictures/2399350.jpg
000024.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/12/Teddy-Roosevelt-Terrier.jpg
000025.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2016/03/12079697_498307953669638_9090546317248932758_n.jpg
000026.jpg,https://www.ukcdogs.com/images/breeds/teddy-roosevelt-terrier.jpg
000027.jpg,https://i.pinimg.com/474x/26/9e/36/269e36d9a93a345845b5b569ed4fa6aa--roosevelt-rat-terriers.jpg
000028.jpg,https://www.dogbreedinfo.com/images25/TeddyRooseveltTerrierDogsTeensyMarieWest3YearsOld5.jpg
000029.jpg,http://www.aspenhillfarms.com/uploads/1/0/0/2/100233060/img-20160812-141123879_orig.jpg
000030.jpg,http://www.worldlifeexpectancy.com/images/a/d/d/b/teddy_roosevelt_terrier/teddy_roosevelt_terrier_1.jpg
000031.jpg,http://dynamotrt.com/resources/DSCN2553.JPG.opt423x317o0%2C0s423x317.JPG
000032.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12193213/Teddy-Roosevelt-Terrier-History-01-e1518449058255.jpg
000033.jpg,https://images.wagwalkingweb.com/media/breed/teddy-roosevelt-terrier/hero/Teddy-Roosevelt-Terrier1.jpg
000034.jpg,https://www.europetnet.org/images/dogbreeds/433.jpg
000035.jpg,http://www.pedigreedatabase.com/pictures/2400476.jpg
000036.jpg,https://www.doglib.com/wp-content/uploads/sites/2/te/teddy-teddyrooseveltterriers-breed.jpg
000037.jpg,http://www.dogwallpapers.net/wallpapers/lovely-teddy-roosevelt-terrier-wallpaper.jpg
000038.jpg,https://i.pinimg.com/originals/ae/8d/9f/ae8d9f9ee395e9e02a01071fda470788.jpg
000039.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/12/Teddy-Roosevelt-Terrier-Puppies.jpg
000040.jpg,http://www.ramblingterriers.com/resources/IMG_2091.jpg
000041.jpg,http://laminapets.com/wp-content/uploads/2017/10/teddy-roosevelt-terrier-300x225.jpg
000042.jpg,https://www.europetnet.com/images/dogbreeds/79.jpg
000043.jpg,https://i.ytimg.com/vi/VHPSJc7f0og/hqdefault.jpg
000044.jpg,https://images1.americanlisted.com/nlarge/toy-teddy-roosevelt-terrier-puppy-americanlisted_38565041.jpg
000045.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225148/Rat-Terrier-On-White-01-400x267.jpg
000046.jpg,https://ckcusa.com/media/147782/rat-terrier-standard.jpg?preset=ckcBreedImage375
000047.jpg,http://www.teddyrooseveltterrier.org/uploads/1/2/5/1/12519321/7610527_orig.jpg
000048.jpg,http://www.dogwallpapers.net/wallpapers/teddy-roosevelt-terrier-puppy-photo.jpg
000049.jpg,http://www.aspenhillfarms.com/uploads/1/0/0/2/100233060/published/trt-pics-060617-132_2.jpg?1561426397
000050.jpg,http://www.ramblingterriers.com/resources/Gidgetweb.jpg.opt434x289o0%2C0s434x289.jpg
