image,source
000001.jpg,http://www.molosserdogs.com/albums/album09/alm.jpg
000002.jpg,http://molosserdogs.com/gallery/albums/userpics/10880/Terceira%20Mastiff%20042.jpg
000003.jpg,https://www.doglib.com/wp-content/uploads/sites/2/te/terceira-hugedogspics-breed.jpg
000004.jpg,https://i.ytimg.com/vi/N7CkP2i2u9Q/hqdefault.jpg
000005.jpg,http://molosserdogs.com/gallery/albums/userpics/10880/Terceira%20Mastiff%20003.jpg
000006.jpg,https://www.doglib.com/wp-content/uploads/sites/2/te/terceira-alp-mastiff-breed.jpg
000007.jpg,http://molosserdogs.com/gallery/albums/userpics/10880/Terceira%20Mastiff%20017.jpg
000008.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2018/06/vicki.jpg
000009.jpg,http://molosserdogs.com/gallery/albums/userpics/10880/Terceira%20Mastiff%20001.jpg
000010.jpg,https://www.dogbreedinfo.com/images32/TerceiraMastiffFilaDeTerceiraExtinctDogBreedInfoDrawing1.jpg
000011.jpg,https://c8.alamy.com/comp/T42XX4/terceira-mastiff-an-extinct-portuguese-dog-breed-T42XX4.jpg
000012.jpg,https://riahorter.com/index_htm_files/10455.jpg
000013.jpg,http://molosserdogs.com/gallery/albums/userpics/10880/Terceira%20Mastiff%20002.jpg
000014.jpg,https://bigdogbreeds.info/wp-content/uploads/2019/01/Terceira-Mastiff-dog-size.jpg
000015.jpg,https://riahorter.com/index_htm_files/10387.jpg
000016.jpg,https://www.animalssale.com/uploads/breed/breeds-2/terceiramastiff.jpg
000017.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Mastif_brazylijski_g56.jpg/220px-Mastif_brazylijski_g56.jpg
000018.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/HuntHillBoerboelsGunston1.jpeg/300px-HuntHillBoerboelsGunston1.jpeg
000019.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Batuque_do_Canchin_02.JPG/220px-Batuque_do_Canchin_02.JPG
000020.jpg,https://kids.kiddle.co/images/thumb/4/45/French_Mastiff_aka_Dogue_de_Bordeaux_2.JPG/260px-French_Mastiff_aka_Dogue_de_Bordeaux_2.JPG
000021.jpg,https://images-na.ssl-images-amazon.com/images/I/41H%2BxYwuqUL.jpg
000022.jpg,https://images-na.ssl-images-amazon.com/images/I/41QOzIBrG-L._SX331_BO1,204,203,200_.jpg
000023.jpg,https://i.pinimg.com/originals/37/1d/de/371dde4d835266208d0aa07a7d71b4b9.jpg
000024.jpg,http://www.molosserdogs.com/gallery/albums/userpics/11557/1934c.jpg
000025.jpg,https://d1k5w7mbrh6vq5.cloudfront.net/images/cache/31/05/98/3105984a86d2079ed739f1b66ab48fee.JPG
