image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/4/42/Tesem_couple.png
000002.jpg,https://www.dogbreedinfo.com/images31/TesemExtinctDogBreedInfoDrawing2.jpg
000003.jpg,https://live.staticflickr.com/3320/3556182854_0c5a8b9f2a.jpg
000004.jpg,https://www.worldlydogs.com/uploads/5/2/2/3/52234445/6829094_orig.png
000005.jpg,https://alchetron.com/cdn/tesem-6710d94e-18ca-47f0-99ac-907f221543c-resize-750.jpeg
000006.jpg,https://i.pinimg.com/originals/70/6a/65/706a6575dbee66982d44678c8dc8e34c.jpg
000007.jpg,https://retrieverman.files.wordpress.com/2012/04/egyptian-dalmatian5.jpg
000008.jpg,https://retrieverman.files.wordpress.com/2011/08/harlequin-tesem.jpg
000009.jpg,https://ctl.s6img.com/society6/img/xDkFV8UgdX86ZFKuAtDgL-2Jgp0/w_700/prints/~artwork/s6-0072/a/29233756_14727323/~~/tesem-prints.jpg
000010.jpg,https://pbs.twimg.com/media/B7BsyspCYAEp-ys.jpg
000011.jpg,http://www.elnegma.com/photos/obr3/3_050.jpg
000012.jpg,http://www.talsannat.com/2011/b-aani30.jpg
000013.jpg,https://www.wpclipart.com/world_history/civilizations/Egyptian/Tesem_Egyptian_dog.png
000014.jpg,https://scontent.cdninstagram.com/vp/baa785be5e1d2eaf13234727a4b4ed44/5D6C1E75/t51.2885-15/e35/s480x480/56837348_2032396477062647_1034861032823882439_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com
000015.jpg,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/c41a06a1-7127-4d95-9551-4a797fbab0b9/d5ymse0-74c5e037-7f45-4b9f-b466-f17675b453af.jpg/v1/fill/w_774,h_1033,q_70,strp/tesem_by_saryni_meriden_d5ymse0-pre.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9MTM2NyIsInBhdGgiOiJcL2ZcL2M0MWEwNmExLTcxMjctNGQ5NS05NTUxLTRhNzk3ZmJhYjBiOVwvZDV5bXNlMC03NGM1ZTAzNy03ZjQ1LTRiOWYtYjQ2Ni1mMTc2NzViNDUzYWYuanBnIiwid2lkdGgiOiI8PTEwMjQifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6aW1hZ2Uub3BlcmF0aW9ucyJdfQ._FGdpvagI_uzjWCRBhqb-9EdkDOQ2AcdkEN6IzRcRJA
000016.jpg,https://i.ytimg.com/vi/lXD5ZXGZIKw/maxresdefault.jpg
000017.jpg,http://www.elnegma.com/photos/obr3/3_007.jpg
000018.jpg,https://media.licdn.com/dms/image/C4D0BAQHGcnMEBsSyUw/company-logo_200_200/0?e=2159024400&v=beta&t=rV29_SvLCnp0SAcuFIRV0MBDxVmvuQR4-KhMsp2gEq0
000019.jpg,https://upload.wikimedia.org/wikipedia/commons/1/17/Tesem_2.png
000020.jpg,https://image.slidesharecdn.com/insta2016-tesem-washizaki-160410231517/95/tesem-a-tool-for-verifying-security-design-pattern-applications-1-638.jpg?cb=1460330182
000021.jpg,http://www.tesem.com/img/interficie/foto_empresa_fires9.jpg
000022.jpg,https://pbs.twimg.com/media/DUkQIzYVMAEvqbm.jpg
000023.jpg,https://cdna.artstation.com/p/assets/covers/images/012/730/650/medium/pauline-lemaire-tesem.jpg?1536225221
000024.jpg,https://i.pinimg.com/originals/d3/21/8b/d3218b91961500bd2659e6ad20299cc8.jpg
000025.jpg,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/4ec22ce8-3356-4a4e-91bd-62d31830bafb/dai4pfq-67c62da0-e7b9-424c-8c5d-49457fce9cb4.png/v1/fill/w_692,h_1154,q_70,strp/tesem___book_of_monsters_entry_by_yamilegendrider_dai4pfq-pre.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9MjIwMCIsInBhdGgiOiJcL2ZcLzRlYzIyY2U4LTMzNTYtNGE0ZS05MWJkLTYyZDMxODMwYmFmYlwvZGFpNHBmcS02N2M2MmRhMC1lN2I5LTQyNGMtOGM1ZC00OTQ1N2ZjZTljYjQucG5nIiwid2lkdGgiOiI8PTEzMjAifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6aW1hZ2Uub3BlcmF0aW9ucyJdfQ.fRCSvcQbbGtfHXRF7HmXolW3ZXMFvpyoTWGNMwYOtNY
000026.jpg,https://cdn.domestika.org/c_limit,dpr_auto,f_auto,q_auto,w_820/v1452862993/content-items/001/502/428/Zoo-Tesem-01b-original.jpg?1452862993
000027.jpg,https://cdn.domestika.org/c_limit,dpr_auto,f_auto,q_auto,w_820/v1452863039/content-items/001/502/432/Zoo-Tesem-05-original.jpg?1452863039
000028.jpg,https://scontent-frx5-1.cdninstagram.com/vp/797c5327e837d85a128daf9d81d2fa4e/5D2FBEFF/t51.2885-15/sh0.08/e35/s640x640/52014129_315328399171010_7736428416204148330_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com
000029.jpg,https://scontent-lga3-1.cdninstagram.com/vp/21b0c156964271f46c8887861ceb686e/5D81165A/t51.2885-15/e35/s1080x1080/61853294_255270032009465_572591519421123390_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com
000030.jpg,https://www.webpackaging.com/Up/Comp/792/11117485/11117508-LGHKHCRS/i/prev/image.jpg
000031.jpg,https://doghelp.altervista.org/wp-content/uploads/2018/07/aaaTesem.jpeg
000032.jpg,https://image.slidesharecdn.com/insta2016-tesem-washizaki-160410231517/95/tesem-a-tool-for-verifying-security-design-pattern-applications-3-638.jpg?cb=1460330182
000033.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music118/v4/bd/fd/d9/bdfdd9c7-d24c-fefa-60d4-6782a07ae185/192914740582.jpg/320x0w.jpg
000034.jpg,https://instagram.fist4-1.fna.fbcdn.net/vp/efaafb0bba7aa5b7dbbcc1276906e883/5DBABEB9/t51.2885-15/e35/s480x480/65046953_691615321278529_3236240272145067371_n.jpg?_nc_ht=instagram.fist4-1.fna.fbcdn.net&ig_cache_key=MjA3NTcyNjMxMTE0MzcwNjE1NA%3D%3D.2
000035.jpg,http://www.tesem.com/img/interficie/home2.jpg
000036.jpg,https://vignette.wikia.nocookie.net/malazan/images/6/60/Map_SevenCities_from_Deadhouse_Gates.jpg/revision/latest?cb=20150130201609
000037.jpg,https://media.licdn.com/dms/image/C4E1BAQEiZBc3eLk0dA/company-background_10000/0?e=2159024400&v=beta&t=BYwkcVvtPWtVZtqpAsjZDNfmKo0ay9Xxapz1d0U2_-U
000038.jpg,http://www.theluxecafe.com/wp-content/uploads/2017/08/Pic-2-Pharaoh-Hound.jpg
