image,source
000001.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22192528/Thai-Ridgeback1.jpg
000002.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22204051/Thai-Ridgeback.4.jpg
000003.jpg,https://vetstreet-brightspot.s3.amazonaws.com/bc/538450c82511e09b940050568d6ceb/file/Thai-Ridgeback-2-AP-645km081611.jpg
000004.jpg,https://www.dogbreedinfo.com/images31/ThaiRidgebackDogsRarePurebredJulieNavineeWinner.jpg
000005.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Thai-Ridgeback-1.jpg
000006.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Thai-Ridgeback-2.jpg
000007.jpg,http://www.dogzone.com/images/breeds/thai-ridgeback.jpg
000008.jpg,https://4.bp.blogspot.com/-dedzGJNAmAg/Wbxe4BDOy4I/AAAAAAAAGdk/8UN__XTfS80qv8wp91DhFLhb6vg_KDscACLcBGAs/s1600/Thai-ridgeback-1.jpg
000009.jpg,https://www.pets4homes.co.uk/images/breeds/395/large/0f462e06a79409ebb8b33dcace7404d7.jpg
000010.jpg,https://www.thephuketnews.com/photo/listing/1368347010_1.jpg
000011.jpg,https://images.ctfassets.net/w00x6p5qkejz/6sNuxvLvaMCAceWYke6y0E/bee7c49f9d62d0fdcec633b70c135157/Thai_Ridgeback_B_W_Small_File.png
000012.jpg,https://dogsaholic.com/wp-content/uploads/2018/06/Thai-Ridgeback-standing-on-ground-810x876.jpg
000013.jpg,https://i.pinimg.com/originals/67/63/0e/67630e4f9220e95c8a65c194e8df9d62.jpg
000014.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12193155/Thai-Ridgeback-MP.jpg
000015.jpg,https://img.dog-learn.com/dog-breeds/thai-ridgeback/thai-ridgeback-i1.jpg
000016.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/12/Blue-Thai-Ridgeback.jpg
000017.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d6/Thai-Ridgeback.jpg
000018.jpg,https://images-ra.adoptapet.com/seo/1/ff/561_ff.jpg
000019.jpg,https://doglime.com/wp-content/uploads/2019/05/Thai-Ridgeback-Behavior.jpg
000020.jpg,https://i.pinimg.com/originals/61/b1/b8/61b1b8a4f96eb4c6bf5c1d628e614503.jpg
000021.jpg,http://www.bluestone-kennels.co.nz/assets/Uploads/Gallery/_resampled/croppedimage580400-Ice-day-Matt-took-him-home-6.jpg
000022.jpg,https://thumbs.dreamstime.com/z/thai-ridgeback-dog-posing-front-white-background-79368737.jpg
000023.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/12/Thai-Ridgeback.jpg
000024.jpg,https://static.pawdiet.com/global/img/breeds/thai-ridgeback.jpg
000025.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223626/Thai-Ridgeback-On-White-01.jpg
000026.jpg,https://img.dog-learn.com/dog-breeds/thai-ridgeback/thai-ridgeback-running-i2-sz14.jpg
000027.jpg,https://www.pets4homes.co.uk/images/articles/4679/large/the-thai-ridgeback-a-rare-breed-thats-gaining-popularity-in-the-uk-5aad108ad07e7.jpg
