image,source
000001.jpg,https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23162_tibetan-spaniel-460x290.jpg
000002.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/tibetan-spaniel-detail.jpg?bust=1535566717&width=355
000003.jpg,https://i.pinimg.com/736x/39/69/f5/3969f5711bf9585398d95692b79c5eca.jpg
000004.jpg,http://cdn.akc.org/content/hero/tibetan_spaniel_hero.jpg
000005.jpg,http://cdn.akc.org/content/article-body-image/TS-body_image_3.jpg
000006.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/Tibetansk_spaniel.jpg
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223531/Tibetan-Spaniel-On-White-03.jpg
000008.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Tibetan-Spaniel-2.jpg
000009.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223538/Tibetan-Spaniel-On-White-01-400x267.jpg
000010.jpg,https://cdn3-www.dogtime.com/assets/uploads/gallery/tibetan-spaniel-dog-breed-pictures/4-tongue.jpg
000011.jpg,http://static.ddmcdn.com/en-us/apl/breedselector/images/breed-selector/dogs/breeds/tibetan-spaniel_02_lg.jpg
000012.jpg,https://vetstreet-brightspot.s3.amazonaws.com/e8/f3a930c82611e09b940050568d6ceb/file/Tibetan-Spaniel-2-AP-645km081611.jpg
000013.jpg,http://wp.tsca.ws/images/homedog.jpg
000014.jpg,https://vetstreet-brightspot.s3.amazonaws.com/38/27b140c82711e09b940050568d6ceb/file/Tibetan-Spaniel-5-AP-645km081611.jpg
000015.jpg,http://wp.tsca.ws/images/aboutpic1.jpg
000016.jpg,http://cdn.akc.org/content/article-body-image/TS-body_image_1.jpg
000017.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Tibetan-Spaniel-1.jpg
000018.jpg,https://dogbreedatlas.com/images/dog-breed-photos/tibetan-spaniel/001/tibetan-spaniel-1491477033-1.jpg
000019.jpg,https://www.dogs-and-dog-advice.com/image-files/tibetan_spaniel.jpg
000020.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-TZ/tibetanspanielsf2.jpg
000021.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2017/11/28/nds_nonspo_tibetanspaniel_171120.jpg
000022.jpg,http://3.bp.blogspot.com/-PwjlJLV0WVA/UP2lnKyrUYI/AAAAAAAAEmM/urUUb-ykMf4/s1600/Tibetan+Spaniel+2.jpg
000023.jpg,https://www.dogbreedinfo.com/images7/Tibetan_Spaniel_tede.jpg
000024.jpg,http://caninechronicle.com/wp-content/uploads/2017/10/15c-300x223.jpg
000025.jpg,https://images.ctfassets.net/w00x6p5qkejz/38VMOcEpfyeCk2goaQu0GC/bec5974bee1bd766d8dcb700eaf662f1/Tibetan_Spaniel2.png
000026.jpg,https://i.pinimg.com/originals/01/6b/b2/016bb2e0571381338d648c594c1435f8.jpg
000027.jpg,https://animalsadda.com/wp-content/uploads/2015/11/tibetan-spaniel-6.jpg
000028.jpg,http://wp.tsca.ws/images/healthpic3.jpg
000029.jpg,https://www.ocregister.com/wp-content/uploads/2017/06/0604_nws_ocr-l-adoptjasper.jpg?w=529
000030.jpg,https://www.warrenphotographic.co.uk/photography/bigs/38205-Tibetan-Spaniel-and-puppy-white-background.jpg
000031.jpg,https://i.ytimg.com/vi/zHbl_ObFBNY/maxresdefault.jpg
000032.jpg,https://www.lagniappetibbies.com/wp-content/uploads/2017/07/xmas-puppies.jpg
000033.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27091248/Tibetan_Spaniel_Puppies_Playing.jpg
000034.jpg,https://www.selectadogbreed.com/media/1331/tibetanspaniel_puppy.jpg
000035.jpg,https://www.europetnet.com/images/dogbreeds/tibetanspaniel.jpg
000036.jpg,https://i.pinimg.com/originals/6a/83/01/6a8301141c7e3a69257e350d780303c3.jpg
000037.jpg,https://www.pets4homes.co.uk/images/breeds/130/large/7ad03fdf7ae86cccf9c033982d314e9a.jpg
