image,source
000001.jpg,https://cdn3-www.dogtime.com/assets/uploads/gallery/tibetan-terrier-dog-breed-pictures/10-2ndface.jpg
000002.jpg,https://vetstreet.brightspotcdn.com/dims4/default/a06ecad/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fa8%2Fc8%2F0215a25b47a799365aa850b6ffad%2Ftibetan-terrier-6.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Tibet_Terrier_Bennie_%28cropped%29.jpg/220px-Tibet_Terrier_Bennie_%28cropped%29.jpg
000004.jpg,https://www.petguide.com/wp-content/uploads/2013/02/tibetan-terrier-2.jpg
000005.jpg,http://www.dogzone.com/images/breeds/tibetan-terrier.jpg
000006.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Tibetan-Terrier_Mobile.jpg?h=300&la=en&w=375&hash=A4BBE863D1FF1CF51873E51FF8828312
000007.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Tibetan-Terrier-1.jpg
000008.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223524/Tibetan-Terrier-Care.jpg
000009.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223455/Tibetan-Terrier-On-White-01.jpg
000010.jpg,https://dogbreedatlas.com/images/dog-breed-photos/tibetan-terrier/001/tibetan-terrier-1491495130-1.jpg
000011.jpg,https://gfp-2a3tnpzj.stackpathdns.com/wp-content/uploads/2017/12/tibetan-terrier-puppy-at-beach-600x600.jpg
000012.jpg,https://i.pinimg.com/originals/71/c7/14/71c7146e4ddc2240e334a4f13a59b18f.jpg
000013.jpg,https://images.freeimages.com/images/premium/previews/3926/39260012-male-tibetan-terrier-dog.jpg
000014.jpg,https://i.pinimg.com/originals/36/97/2b/36972b2f0b211b8fa1a97f80427f0370.jpg
000015.jpg,https://dogsoncamera.com/wp-content/uploads/2018/06/7a68e5b9-883d-41eb-890a-2514edeabf04.jpg
000016.jpg,https://gfp-2a3tnpzj.stackpathdns.com/wp-content/uploads/2017/10/Tibetan-Terrier-1-e1534278262833.jpg
000017.jpg,https://www.pet365.co.uk/blog/wp-content/uploads/Tibetan-Terrier_7340917.jpg
000018.jpg,https://vetstreet-brightspot.s3.amazonaws.com/66/2315d0c82711e09b940050568d6ceb/file/Tibetan-Terrier-1-AP-645km081611.jpg
000019.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223457/Tibetan-Terrier-MP.jpg
000020.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23164_tibetan-terrier-460x290.jpg
000021.jpg,https://www.pets4homes.co.uk/images/breeds/129/large/631f8e0afa75138777c572a2bf8187f8.jpg
000022.jpg,https://i.ytimg.com/vi/yczjpiUkP24/maxresdefault.jpg
