image,source
000001.jpg,https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23130_toy-fox-terrier-460x290.jpg
000002.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/toy-fox-terrier-detail.jpg?bust=1535565768&width=355
000003.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/toy-fox-terrier-dog-breed-pictures/8-multi.jpg
000004.jpg,https://vetstreet.brightspotcdn.com/dims4/default/34a77b0/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F07%2F09c2e0ccfc11e0ad9e12313817c323%2Ffile%2FToy-Fox-3-645mk082211.jpg
000005.jpg,https://upload.wikimedia.org/wikipedia/commons/2/24/Toy_Fox_Terrier_2.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223410/Toy-Fox-Terrier-On-White-03.jpg
000007.jpg,https://vetstreet.brightspotcdn.com/dims4/default/eac33f7/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F1d%2Fffe790ccfc11e0ad9e12313817c323%2Ffile%2FToy-Fox-2-645mk082211.jpg
000008.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/toy-fox-terrier-card-small.jpg?bust=1535567772
000009.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/26212614/Toy-Fox-Terrier-Puppies.jpg
000010.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/1/17/Bailey_the_Toy_Fox_Terrier.jpg/250px-Bailey_the_Toy_Fox_Terrier.jpg
000011.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223416/Toy-Fox-Terrier-MP.jpg
000012.jpg,https://www.dogster.com/wp-content/uploads/2016/08/Toy-Fox-Terrier_225.jpg
000013.jpg,https://www.petmd.com/sites/default/files/breedopedia/Picture%20008.jpg
000014.jpg,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/TOY_Toy-Fox-Terrier.jpg?itok=-dNj0lnk
000015.jpg,https://dgicdplf3pvka.cloudfront.net/images/dogbreeds/large/Fox-Terrier-Toy.jpg
000016.jpg,https://www.dogtemperament.com/wp-content/uploads/2018/10/toy-fox-terriers-4-full-bidy-standing.jpg
000017.jpg,https://www.petinsurance.com/en/healthzone/pet-articles/pet-breeds/~/media/759B8DEDC7BA4C3D9F38FE98913BCF8D.ashx?h=315&w=240
000018.jpg,https://gfp-2a3tnpzj.stackpathdns.com/wp-content/uploads/2016/07/Toy-Fox-Terrier-1600x700.jpg
000019.jpg,https://vetstreet-brightspot.s3.amazonaws.com/3d/d214e0c82811e09b940050568d6ceb/file/toy-fox-terrier-1-AP-645km081611.jpg
000020.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2018/11/21/nbc_dog_toy_toyfoxterrier_181120.jpg
000021.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Toy-Fox-Terrier-3.jpg
000022.jpg,https://espree-53db.kxcdn.com/collateral/BBE49360-29E8-4F57-80CB-4FF2CFF30A29.jpg
000023.jpg,https://images.ctfassets.net/w00x6p5qkejz/HTOnQFHaSaaMMu2Ec8KUG/a1c85a0e6441dec1ff72aa252b78de89/Fox_Terrier__Toy__300x300.jpg
000024.jpg,https://images.wagwalkingweb.com/media/breed/toy-fox-terrier/appearance/toy-fox-terrier.png
000025.jpg,https://lasvegas-k9.com/content/images/thumbs/0006343_toy-fox-terrier_550.jpeg
000026.jpg,https://images.ctfassets.net/w00x6p5qkejz/6gDonDSr0kYGmqom8emq6O/1157af93110f7bc7792a3403bf36d2a5/Toy_Fox_Terrier_B_W_Small_File.png
000027.jpg,https://lovetoydogs.com/wp-content/uploads/2018/01/Toy-Fox-Terrier.jpg
000028.jpg,https://pet-uploads.adoptapet.com/5/2/d/308341083.jpg
000029.jpg,https://i.ytimg.com/vi/MOVtJDzDxT4/maxresdefault.jpg
000030.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2017/11/28/nds_toy_toyfoxterrier_171120.jpg
000031.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223433/Toy-Fox-Terrier-History-01.jpg
000032.jpg,https://www.dogbreedinfo.com/images31/TacoTerrierToyFoxTerrierChihuahuaMixCocoaLay2YearsOld.jpg
000033.jpg,https://www.petinsurance.com/en/healthzone/pet-articles/pet-breeds/~/media/4C6CF2D7E30D4A239CDB56793A972D30.ashx?h=160&w=240
000034.jpg,https://i.pinimg.com/originals/72/59/02/725902db7a7c5b4bdf79b50af046ebfc.jpg
000035.jpg,http://www.sargonkennels.com/dexterb.jpg
000036.jpg,https://www.dogtemperament.com/wp-content/uploads/2018/10/toy-fox-terriers-3-standing-portrait.jpg
000037.jpg,https://dogbreedatlas.com/images/dog-breed-photos/toy-fox-terrier/001/toy-fox-terrier-1491564583-1.jpg
000038.jpg,https://i.ytimg.com/vi/RmT51d1FJWI/maxresdefault.jpg
000039.jpg,https://cdn.shopify.com/s/files/1/0799/5581/articles/ToyFoxTerrier.jpg?v=1481039324
000040.jpg,https://gfp-2a3tnpzj.stackpathdns.com/wp-content/uploads/2018/01/Tiny-M-600x600.jpg
000041.jpg,https://championshipbreeders.com/wp-content/uploads/2016/08/Toy-Fox-Terrier-by-Evasuik.jpg
000042.jpg,https://www.dogbreedinfo.com/images23/ToyFoxTerrierOreo4YearsOldDog.jpg
000043.jpg,https://www.selectadogbreed.com/media/2173/toyfoxterrier_puppy.jpg
000044.jpg,https://vetstreet.brightspotcdn.com/dims4/default/704f01b/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F02%2F1c%2Fd7ea869c44e6aeb1f48694b3d184%2Ftoy-fox-terrier-ap-1jzef8-645-x-380.jpg
