image,source
000001.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/toy-manchester-terrier-detail.jpg?bust=1535566112&width=355
000002.jpg,http://static.ddmcdn.com/en-us/apl/breedselector/images/breed-selector/dogs/breeds/manchester-terrier-toy_01_lg.jpg
000003.jpg,https://vetstreet.brightspotcdn.com/dims4/default/ec01c29/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F68%2F329a80a7de11e0a0d50050568d634f%2Ffile%2FManchester-Terrier-2-645mk062711.jpg
000004.jpg,https://i.pinimg.com/originals/8f/da/71/8fda710bebf9dacc34dee332ad4007ed.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/04/26221428/Manchester-Terrier-Slide-01.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/26203655/Manchester-Terrier-Standard-Slide-10.jpg
000007.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23224_manchester-terrier-460x290.jpg
000008.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/04/28015403/Manchester-Terrier-Toy-Care.jpg
000009.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/manchester-terrier-card-medium.jpg?bust=1535568354&width=560
000010.jpg,https://www.dogzone.com/images/breeds/toy-manchester-terrier.jpg
000011.jpg,https://vetstreet.brightspotcdn.com/dims4/default/c5c7a9d/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fd0%2F20%2F2952b024484c86eea31773b44f27%2Fmanchester-terrier-ap-0gfvbd-645-x-380.jpg
000012.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/12/Manchester-Toy-Terrier.jpg
000013.jpg,https://dogbreedatlas.com/images/dog-breed-photos/toy-manchester-terrier/001/toy-manchester-terrier-1490358444-1.jpg
000014.jpg,https://i.pinimg.com/originals/58/b7/84/58b78401f4ed2567d384c1545d64da98.jpg
000015.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/04/26222935/Manchester-Terrier-Toy-Slide-16-400x267.jpg
000016.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/12/Toy-Manchester-Terrier.jpg
000017.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/toy-manchester-terrier-card-small.jpg?bust=1535567662
000018.jpg,https://www.pets4homes.co.uk/images/breeds/148/large/8d8c4b92bf85faea113dc4413d260ff2.jpg
000019.jpg,https://dgicdplf3pvka.cloudfront.net/images/dogbreeds/large/Manchester-Terrier-Toy.jpg
000020.jpg,https://www.selectadogbreed.com/media/1612/englishtoyterrier_adult.jpg
000021.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230934/Manchester-Terrier-MP.jpg
000022.jpg,http://static.ddmcdn.com/en-us/apl/breedselector/images/breed-selector/dogs/breeds/manchester-terrier-toy_03_lg.jpg
000023.jpg,https://www.petmd.com/sites/default/files/breedopedia/toy_manchester_terrier.jpg
000024.jpg,https://animalsbreeds.com/wp-content/uploads/2014/12/Toy-Manchester-Terrier.jpg
000025.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Toy-manchester-terrier-weave.png/220px-Toy-manchester-terrier-weave.png
000026.jpg,https://cdn.omlet.co.uk/images/cache/530/768/Dog-Manchester_Terrier-A_female_adult_Manchester_Terrier_standing_tall_showing_off_it's_beautiful,_slender_body.jpg
000027.jpg,https://www.smalldogplace.com/images/manchester-terrier-cc-sdp.jpg
000028.jpg,http://static.ddmcdn.com/en-us/apl/breedselector/images/breed-selector/dogs/breeds/manchester-terrier-toy_04_lg.jpg
000029.jpg,https://www.k9rl.com/wp-content/uploads/2016/02/Toy-Manchester-Terrier-825x510.jpg
000030.jpg,http://www.smalldogbreeds101.com/wp-content/uploads/ToyManchesterTerrier.jpg
000031.jpg,https://live.staticflickr.com/4010/4372150560_845a0f5ba1_b.jpg
000032.jpg,http://www.cwalker.net/manchesters/images/Death4-16-13.jpg
000033.jpg,https://i2.wp.com/www.allaboutdogs.net/wp-content/uploads/2016/05/Manchester-Terrier-Toy.jpg?resize=740%2C414&ssl=1
000034.jpg,http://www.cwalker.net/manchesters/images/PaulaPatton10-20-85-Web.jpg
000035.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2019/04/17/nbc_dog_toy_toymanchesterterrier_190405.jpg
000036.jpg,http://static.ddmcdn.com/en-us/apl/breedselector/images/breed-selector/dogs/breeds/manchester-terrier-toy_02_lg.jpg
000037.jpg,https://www.selectadogbreed.com/media/1611/englishtoyterrier_puppy.jpg
000038.jpg,http://www.cwalker.net/manchesters/images/Gabby9Mo.jpg
000039.jpg,https://www.smalldogplace.com/images/miniature-pinscher-white.jpg
000040.jpg,https://d3fxc45vnyc74f.cloudfront.net/static/cache/7b/49/7b49ca6545c082966728efc49e4d8a48.jpg
000041.jpg,https://www.petmd.com/sites/default/files/breedopedia/883753_212484808930569_142320225_o%20(1).jpg
000042.jpg,https://i.ytimg.com/vi/JZn-WChAx9g/maxresdefault.jpg
000043.jpg,https://www.pets4homes.co.uk/images/articles/4218/large/english-toy-terrier-or-miniature-pinscher-which-makes-the-better-companion-595269ca72cc7.jpg
000044.jpg,https://i1.wp.com/www.maximaldog.com/wp-content/uploads/2015/01/dot-and-jiggy.jpg
000045.jpg,https://www.british-manchester-terrier-club.co.uk/wp-content/uploads/2018/04/7DSC08586-2.jpg
000046.jpg,https://live.staticflickr.com/7057/6872054880_a2b6b83ac0_b.jpg
000047.jpg,https://www.dogsonline.com/gallery/plog-content/images/breed/manchester-terrier-toy/manchester-terrier-0006.jpg
000048.jpg,https://www.worldlifeexpectancy.com/images/a/d/d/b/toy_manchester_terrier/toy_manchester_terrier_1.jpg
000049.jpg,https://www.americanmanchester.org/resources/Finding%20a%20Manchester%20Slider/5084115019_755e00cc60_o.jpg
000050.jpg,https://www.petmd.com/sites/default/files/breedopedia/HPIM0417.JPG
