image,source
000001.jpg,https://www.dogbreedinfo.com/images22/TreeingCurReillyDog1.jpg
000002.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/03/Treeing-Cur.jpg
000003.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/03/Treeing-Cur-Pictures.jpg
000004.jpg,https://www.dogbreedinfo.com/images22/TreeingCurReillyDog2.jpg
000005.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/03/Treeing-Cur-Dog.jpg
000006.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/03/Images-of-Treeing-Cur.jpg
000007.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/03/Treeing-Curs.jpg
000008.jpg,https://i2.wp.com/puppytoob.com/wp-content/uploads/2018/10/Treeing-Cur-1.jpg?resize=749%2C441
000009.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/03/Treeing-Cur-Images.jpg
000010.jpg,http://www.dogzone.com/images/breeds/treeing-cur.jpg
000011.jpg,https://www.worldlydogs.com/uploads/5/2/2/3/52234445/8346059_orig.png
000012.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/03/Pictures-of-Treeing-Cur.jpg
000013.jpg,https://images.wagwalkingweb.com/media/breed/treeing-cur/hero/Treeing-Cur.jpg
000014.jpg,http://www.angelfire.com/fang/ntca/betsypose.jpg
000015.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/03/Treeing-Cur-Puppies.jpg
000016.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12205430/Treeing-Tennessee-Brindle-on-White-01.jpg
000017.jpg,http://i66.tinypic.com/2rgkff7.jpg
000018.jpg,http://www.dogwallpapers.net/wallpapers/treeing-cur-wallpaper.jpg
000019.jpg,https://i.pinimg.com/originals/29/fd/8a/29fd8a889f0aa3cd985c43a141136665.jpg
000020.jpg,https://www.michigan-sportsman.com/forum/attachments/1467238127492-jpg.218627/
000021.jpg,https://i.ytimg.com/vi/gLxy6ILRr4g/hqdefault.jpg
000022.jpg,https://www.michigan-sportsman.com/forum/attachments/1467238176527-jpg.218629/
000023.jpg,https://i.pinimg.com/originals/11/41/7f/11417f9440cd4dc079c301743db96631.jpg
000024.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/10/Treeing-Cur-Puppies.jpg
000025.jpg,http://i877.photobucket.com/albums/ab336/sonnyconwill/IMG_6509_zpsvic6dblw.jpg
000026.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/03/Treeing-Cur-Puppy.jpg
000027.jpg,https://www.doglib.com/wp-content/uploads/sites/2/tr/treeing-treeing-cur-dog-breed.jpg
000028.jpg,http://www.angelfire.com/fang/ntca/wp.jpg
000029.jpg,https://live.staticflickr.com/2137/2301354117_f909cf7451_b.jpg
000030.jpg,https://www.realtree.com/sites/default/files/styles/site_large/public/content/inserts/ccase-squirrel-1.jpg?itok=rOWo2Jkk
000031.jpg,http://i725.photobucket.com/albums/ww253/moodyhound/IMG_0857.jpg
000032.jpg,http://www.dogwallpapers.net/wallpapers/treeing-cur-puppy-wallpaper.jpg
000033.jpg,https://www.ukcdogs.com/images/breeds/treeing-cur.jpg
000034.jpg,https://i2.wp.com/puppytoob.com/wp-content/uploads/2018/10/Treeing-Cur-2.jpg?resize=750%2C442
000035.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12205438/Treeing-Tennessee-Brindle-Care.jpg
000036.jpg,https://www.arkansashunting.net/proxy.php?image=http%3A%2F%2Fi93.photobucket.com%2Falbums%2Fl49%2Fgator_510%2FPicture017.jpg&hash=9b9288a96dfb3f9795f7fff9aae13ebb
000037.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Mtncur.png/220px-Mtncur.png
000038.jpg,https://img.dog-learn.com/dog-breeds/treeing-tennessee-brindle/treeing-tennessee-brindle-i12-sz14.jpg
000039.jpg,http://i49.tinypic.com/2ur9qbo.jpg
000040.jpg,https://i.pinimg.com/originals/1c/5e/5f/1c5e5fbd294bd7f8d599873687eafaa7.jpg
000041.jpg,http://i47.tinypic.com/292bka0.jpg
000042.jpg,http://i725.photobucket.com/albums/ww253/moodyhound/IMG_0860.jpg
000043.jpg,https://bloximages.newyork1.vip.townnews.com/journalpatriot.com/content/tncms/assets/v3/editorial/2/54/254a5ede-8d04-11e3-9358-001a4bcf6878/52efe51d9a6f6.image.jpg
000044.jpg,https://www.worldlydogs.com/uploads/5/2/2/3/52234445/932194_orig.png
000045.jpg,https://i.pinimg.com/originals/f7/74/dd/f774dde40ffaf191c79b3e030df183f4.jpg
000046.jpg,https://app.louisianasportsman.com/classifieds/pics/p14804625351027500.jpg
000047.jpg,http://i725.photobucket.com/albums/ww253/moodyhound/picsfromchriscamera051509064.jpg
000048.jpg,https://images.wagwalkingweb.com/media/breed/treeing-tennessee-brindle/hero/treeing-tennessee-brindle.jpg
000049.jpg,https://upload.wikimedia.org/wikipedia/commons/7/70/Black_mouth_cur-10.jpg
000050.jpg,https://www.michigan-sportsman.com/forum/attachments/1467238142331-jpg.218628/
