image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Turnspitdog-1862.jpg/300px-Turnspitdog-1862.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Turnspit_Dog_Working.jpg/350px-Turnspit_Dog_Working.jpg
000003.jpg,https://www.thevintagenews.com/wp-content/uploads/2018/08/breeding_training_management_diseases_and_c-_of_dogs-_1877_14780673624-640x336.jpg
000004.jpg,https://assets.atlasobscura.com/article_images/38780/image.jpg
000005.jpg,http://www.kitchensisters.org/wp-content/uploads/2014/05/Turnspit-dogs_whiskey.jpg
000006.jpg,http://www.kitchensisters.org/wp-content/uploads/2014/05/Turnspit-dog_dog-at-work.jpg
000007.jpg,http://www.todayifoundout.com/wp-content/uploads/2015/02/Turnspit_Dog.jpg
000008.jpg,https://www.thevintagenews.com/wp-content/uploads/2016/08/111.jpg
000009.jpg,https://i.imgur.com/lzmJf6G.jpg
000010.jpg,http://messybeast.com/history/turnspitdog-7.jpg
000011.jpg,https://media.npr.org/assets/img/2014/05/12/463895653_master_slide-9cfdd4bccadc53f57b2cf5a8d5faae4ab4a7a0ff-s800-c85.jpg
000012.jpg,https://i.ytimg.com/vi/pdn9wWQ3JaA/maxresdefault.jpg
000013.jpg,https://4.bp.blogspot.com/-ct_lOhZWW2k/Vvb3j9f5QyI/AAAAAAAACmU/BaowBEoIkfMvkYTCORlVdoLE61Py9KGnQ/s1600/turnspit-dog.jpg
000014.jpg,https://www.collectorsprints.com/_images/animals/1808/800/turnspit.jpg
000015.jpg,https://media.npr.org/assets/img/2014/05/12/113438731_master_wide-d6f0959f495a8c1324b8bafa9a2c2235ac0559c5.jpg?s=1400
000016.jpg,https://www.foodnonfiction.com/images/Episode_images/turnspitdogwheel.png
000017.jpg,https://assets.atlasobscura.com/article_images/38783/image.jpg
000018.jpg,https://pbs.twimg.com/media/DvM8H89W0AALZAX.jpg
000019.jpg,https://cdn.historydaily.org/content/74983/a120748796789e1a29f0967f6663694c.jpg
000020.jpg,https://www.antiqueprintclub.com/getmetafile/8d484d02-bbb4-4157-91dc-4cdd4fa088cf/Buffon-Turnspit%2Cv-Turnspit.aspx
000021.jpg,https://i.ytimg.com/vi/v5GRM4FO3Pc/maxresdefault.jpg
000022.jpg,https://i1.wp.com/jpascual.scienceblog.com/files/2019/02/B9wEfNfIYAAlZ9v.jpg
000023.jpg,https://www.dogbreedinfo.com/images31/TurnspitExtinctDogBreedInfoDrawing1.jpg
000024.jpg,https://www.thevintagenews.com/wp-content/uploads/2018/08/gettyimages-815687776.jpg
000025.jpg,https://www.foodnonfiction.com/images/Episode_images/turnspitimage.jpg
000026.jpg,https://texthistory.files.wordpress.com/2012/06/turnspit.jpg
000027.jpg,http://www.kitchensisters.org/wp-content/uploads/2014/05/Turnspit-Dog_Caira.jpg
000028.jpg,https://r.hswstatic.com/w_700/gif/stuffmomnevertoldyou-86-2013-12-turnspit.jpg
000029.jpg,http://www.ediblegeography.com/wp-content/uploads/2012/12/Sears-dog-churn-460.jpg
000030.jpg,https://pics.me.me/turnspit-dog-an-extinct-dog-breed-44577115.png
000031.jpg,https://cdn.historydaily.org/content/74983/bc5b85fe26a01829c710d971280b7c42.jpg
000032.jpg,http://www.kitchensisters.org/wp-content/uploads/2014/05/Turnspit-Engraving1-wo-watermark.jpg
000033.jpg,https://media-cdn.tripadvisor.com/media/photo-s/0f/a5/88/e2/wheel-for-the-turnspit.jpg
000034.jpg,http://www.sarahalbeebooks.com/wp-content/uploads/2013/05/Screen-Shot-2013-04-23-at-12.24.10-PM-465x318.png
000035.jpg,http://www.lewis-clark.org/media/images/an_bingley_turnspit_dog.jpg
000036.jpg,https://www.foodnonfiction.com/media/k2/items/cache/fc1da7257992fc36032e11db3df7a664_XL.jpg
000037.jpg,http://messybeast.com/history/turnspitdog-6.jpg
000038.jpg,http://www.kitchensisters.org/wp-content/uploads/2014/05/The-Turnspit-Dog-book.jpg
000039.jpg,http://www.kitchensisters.org/wp-content/uploads/2014/05/Turnspit-dog_Lucy.jpg
000040.jpg,https://media.npr.org/assets/img/2014/05/12/463895653_master-8d45c165deba8d27d304fb6cb7d819ccd39506e4.jpg
000041.jpg,https://res.cloudinary.com/jacepharm/image/upload/v1548866175/5-Turnspit-Dog_tvqbvp.jpg
000042.jpg,https://payload.cargocollective.com/1/18/588283/9332336/turnspitdog_lg_1000.jpg
000043.jpg,https://upload.wikimedia.org/wikipedia/en/b/bc/Turnspit_Dog_detail.jpg
000044.jpg,https://dogdiscoveries.com/wp-content/uploads/2016/08/turnspits-300x296.jpg
000045.jpg,http://www.ediblegeography.com/wp-content/uploads/2012/12/Butter-treadmill-460.jpg
000046.jpg,http://2.bp.blogspot.com/-T0hCLoO6ocI/Un1iqnbxI_I/AAAAAAAAAV4/sNLkX7Dqrk0/s1600/Waldman.jpg
000047.jpg,http://thedabbler.co.uk/wp-content/uploads/2015/03/turnspit.gif
000048.jpg,https://cdn2-www.dogtime.com/assets/uploads/2014/08/file_20288_column_what-is-the-kuri-dog.jpg
000049.jpg,https://www.dogingtonpost.com/wp-content/uploads/2016/05/braque-braque-du-puy2.jpg
000050.jpg,https://www.thevintagenews.com/wp-content/uploads/2018/08/istock-849449842-640x410.jpg
