image,source
000001.jpg,https://vetstreet.brightspotcdn.com/dims4/default/948f679/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fcf%2F6e%2Fdfae820c404b807e0f1f27723547%2Fvolpino-ap-0rhtuf-645.jpg
000002.jpg,https://1.bp.blogspot.com/-i0ncL_qcSag/WgOSr4uPnUI/AAAAAAAAGm4/PAlvTFwkfkcZRHap7tsC7GC5xXystf9xgCLcBGAs/s1600/Volpino%2BItaliano.jpg
000003.jpg,https://previews.123rf.com/images/bigandt/bigandt1401/bigandt140100004/25050012-portrait-of-volpino-italiano-dog-facing-the-camera-.jpg
000004.jpg,http://www.enci.it/media/3038/volpino-italiano-zucchero.jpg
000005.jpg,http://files.spazioweb.it/2e/da/2edab708-6ea9-4ae6-97fb-7018e2ba9016.jpg
000006.jpg,http://www.enci.it/media/3131/volpino-italiano-asia-bob-sassuolo-e-tolentino.jpg?width=500&height=382.19641993226895
000007.jpg,https://www.albanesi.it/wp-content/uploads/2014/01/volpino_italiano1.jpg
000008.jpg,https://i.ytimg.com/vi/pGxkK35F8q4/maxresdefault.jpg
000009.jpg,http://www.keeshondenclub.nl/wp/wp-content/uploads/volpino-italiano-1.jpg
000010.jpg,https://vetstreet.brightspotcdn.com/dims4/default/696a6d7/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fd8%2Fb5%2F13ab4e2241779516f2fbb910fdd4%2Fvolpino-ap-1mec3t-645.jpg
000011.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Volpino-Italiano-2.jpg
000012.jpg,http://eng.agraria.org/dog/volpinoitaliano2.JPG
000013.jpg,https://i.ytimg.com/vi/k6KEm7BEeiE/maxresdefault.jpg
000014.jpg,http://primitivedogs.com/wp-content/uploads/2015/10/Florentine-Spitz-dogs.jpg
000015.jpg,http://www.dnacani.it/wp-content/uploads/2018/06/34706090_10212188181075153_1639069664589905920_n-845x684.jpg
000016.jpg,https://www.petguide.com/wp-content/uploads/2019/05/volpino-italiano-668x446.jpg
000017.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/12/Volpino-Italiano.jpg
000018.jpg,http://www.easypetmd.com/sites/default/files/Volpino_Italiano%20(6).jpg
000019.jpg,https://dogsaholic.com/wp-content/uploads/2018/07/Volpino-Italiano-standing.jpg
000020.jpg,http://eng.agraria.org/dog/volpinoitaliano.JPG
000021.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/12/Italian-Spitz.jpg
000022.jpg,http://www.dogzone.com/images/breeds/volpino-italiano.jpg
000023.jpg,https://www.petmd.com/sites/default/files/breedopedia/volpino_italiano.jpg
000024.jpg,https://www.annuncianimali.it/public/immagini/Regalo_Volpino_Italiano_1308480_13.jpg
000025.jpg,https://dogsbreedusa.online/volpino-italiano/volpino-italiano-puppy/
000026.jpg,https://www.faidateingiardino.com/wp-content/uploads/2019/05/volpino-italiano-15.jpg
000027.jpg,https://www.k9harness.com/content/images/thumbs/0003338_volpino-italiano_550.jpeg
000028.jpg,http://www.dogwallpapers.net/wallpapers/angry-volpino-italiano-dog-photo.jpg
000029.jpg,https://www.tuttogreen.it/wp-content/uploads/2017/08/3986326821_0d0a8a666e_o.jpg
000030.jpg,https://images-na.ssl-images-amazon.com/images/I/41RJ1pNJ9VL._SX331_BO1,204,203,200_.jpg
000031.jpg,https://www.ideegreen.it/wp-content/uploads/2016/11/volpino-rosso-italiano-belisaria-di-roccascura.jpg
000032.jpg,https://www.razzedicani.net/wp-content/uploads/2017/02/volpino-italiano3-e1487348734588.jpg
000033.jpg,https://c8.alamy.com/comp/PFRHA2/volpino-italiano-dog-cane-de-quirinale-side-view-PFRHA2.jpg
000034.jpg,https://live.staticflickr.com/4039/4367611031_94ae13c6fb_b.jpg
000035.jpg,https://i0.wp.com/www.mascotarios.org/wp-content/uploads/2011/07/VolpinoItaliano.jpg
000036.jpg,https://cdn.shortpixel.ai/client/q_glossy,ret_img,w_615/https://www.ideegreen.it/wp-content/uploads/2016/11/belisaria-di-roccascura.jpg
000037.jpg,https://i.ytimg.com/vi/T8FAhxVSWhg/maxresdefault.jpg
000038.jpg,https://ar.allevamentirazze.it/public/immagini/articoli//cb/d29e1580-4a65-4057-a049-3b45cae0f145/volpino-italiano-rosso-FB15T2.jpg
000039.jpg,https://dogsaholic.com/wp-content/uploads/2018/07/Volpino-Italiano-puppies-sitting-together-680x613.jpg
000040.jpg,https://previews.123rf.com/images/bigandt/bigandt1401/bigandt140100010/25050018-black-volpino-italiano-dog-posing-for-the-photographer-.jpg
000041.jpg,https://primitivedogs.com/wp-content/uploads/2015/10/Volpino-Italiano-featured-800x324.jpg
000042.jpg,https://www.canedifamiglia.it/wp-content/uploads/facebook_1534224370381.jpg
000043.jpg,http://www.trovapet.it/img/annunci/47212.jpg
000044.jpg,https://wds2018.com/wp-content/uploads/2017/05/Volpino-Italiano.jpg
000045.jpg,https://n3.sdlcdn.com/imgs/c/v/y/Volpino-Italiano-Italian-Spitz-Paperback-SDL552737637-1-bcbc2.jpg
000046.jpg,https://www.mypets.net.au/wp-content/uploads/2019/05/Volpino-Italiano.jpg
000047.jpg,https://images-na.ssl-images-amazon.com/images/I/4105CjHTG0L._SX331_BO1,204,203,200_.jpg
000048.jpg,http://files.spazioweb.it/9a/6d/9a6d9f86-238f-44a0-868e-f7c30b871830.jpg
000049.jpg,https://i.pinimg.com/originals/f8/50/19/f85019208dc53a62cbe8bb70507703e8.jpg
000050.jpg,https://cdn.shortpixel.ai/client/q_glossy,ret_img,w_615/https://www.ideegreen.it/wp-content/uploads/2016/10/volpino-italiano-rosso-2.jpg
