image,source
000001.jpg,https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_22998_weimaraner-460x290.jpg
000002.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/weimaraner-detail.jpg?bust=1535566762&width=355
000003.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Weimaraner_Mobile.jpg?h=300&la=en&w=375&hash=8370EDDDCA8261DE570ED454891E4D9F
000004.jpg,https://thehappypuppysite.com/wp-content/uploads/2017/05/Weimaraner-HP-long.jpg
000005.jpg,https://www.pets4homes.co.uk/images/breeds/18/large/bcf6704a9815cdbf1554202bc923dd53.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223231/Weimaraner-MP.jpg
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223229/Weimaraner-On-White-01.jpg
000008.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223252/Weimaraner-Care.jpg
000009.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/12/Weimaraner-Colors-long.jpg
000010.jpg,https://vetstreet.brightspotcdn.com/dims4/default/33909c2/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fa0%2F10e2d0a80c11e0a0d50050568d634f%2Ffile%2FWeimaraner-4-645mk062911.jpg
000011.jpg,https://images2.minutemediacdn.com/image/upload/c_fill,g_auto,h_1248,w_2220/f_auto,q_auto,w_1100/v1555354376/shape/mentalfloss/istock_000009321303_small.jpg
000012.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Weimaraner_Freika-2.jpg/220px-Weimaraner_Freika-2.jpg
000013.jpg,https://vetstreet-brightspot.s3.amazonaws.com/74/69f590a80c11e0a0d50050568d634f/file/Weimaraner-2-645mk062911.jpg
000014.jpg,https://i.pinimg.com/originals/f4/5c/84/f45c84c85b69b5bd3e9148c5d005d7c8.jpg
000015.jpg,https://www.gopetplan.com/sites/default/files/2018-11/immunodeficiency-disease-in-weimaraners_optimized_FINAL.jpg
000016.jpg,https://vetstreet-brightspot.s3.amazonaws.com/e4/e0/ab2376c743628f81cc23f6bac97b/weimaraner-AP-18ULPF-645sm12913.jpg
000017.jpg,https://www.rover.com/blog/wp-content/uploads/2019/05/VoIfDjK.jpg
000018.jpg,https://s3-eu-west-1.amazonaws.com/w3.cdn.gpd/gb.pedigree.56/large_f816c9e9-46df-4c04-a262-3337b0c9aae9.jpg
000019.jpg,https://cf-s3.petcoach.co/uploads/breed/259/1522084013-weimaraner.jpg
000020.jpg,https://www.pets4homes.co.uk/images/articles/4975/large/juvenile-pyoderma-in-the-weimaraner-dog-breed-5b9a5a71e2d80.jpg
000021.jpg,https://dgicdplf3pvka.cloudfront.net/images/dogbreeds/large/Weimaraner.jpg
000022.jpg,https://www.rover.com/blog/wp-content/uploads/2019/05/tumblr_inline_nxjzwizctT1s826nn_540.jpg
000023.jpg,http://www.irishdogs.ie/images/weimaraner-names.jpg
000024.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/weimaraner-dog-breed-pictures/1-sit.jpg
000025.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-TZ/weimaranersf1.jpg
000026.jpg,http://img1.wsimg.com/isteam/ip/ed8d4f9a-a7fc-4d23-84b3-5c42c2351066/a53bb1a6-6293-410b-b9c9-dd4ab23eaadc.png
