image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Welsh_Sheepdog.jpg/220px-Welsh_Sheepdog.jpg
000002.jpg,https://pbs.twimg.com/profile_images/1084430777029402629/C6uE1Cbt.jpg
000003.jpg,https://i.ytimg.com/vi/teX2CYOy_7I/maxresdefault.jpg
000004.jpg,https://i.pinimg.com/originals/9f/6b/0c/9f6b0c7d7de572cc183d1acc6a710940.jpg
000005.jpg,https://ichef.bbci.co.uk/images/ic/640x360/p03s46b9.jpg
000006.jpg,https://www.pets4homes.co.uk/images/breeds/218/large/a5c65fb5ecdc872549230d5473d0a012.jpg
000007.jpg,https://i.pinimg.com/originals/f9/0c/49/f90c495f9f002d4b270ca33187242f6c.jpg
000008.jpg,http://www.easypetmd.com/sites/default/files/Welsh_Sheepdog1.jpg
000009.jpg,https://alchetron.com/cdn/welsh-sheepdog-b2e24aa0-25d5-4773-b4e7-d057d4f7f40-resize-750.jpeg
000010.jpg,http://www.wildenfarm.co.uk/dogs/welsh%20sheepdog%20brynmawr%20sapphire.jpg
000011.jpg,https://i.ebayimg.com/00/s/ODM1WDEwMjQ=/z/nAoAAOSwecJaiCV8/$_86.JPG
000012.jpg,https://www.pets4homes.co.uk/images/breeds/218/large/3d043da9abb6a3f6f4bd51a818991f6e.jpg
000013.jpg,https://c8.alamy.com/comp/HAHENP/welsh-sheepdog-HAHENP.jpg
000014.jpg,http://dogbreedstandards.com/wp-content/uploads/2013/04/Welsh-Sheeepdog.jpg
000015.jpg,http://static.pedigreedatabase.com/dogbreeds/welsh_sheepdog.jpg
000016.jpg,https://www.dogbreedinfo.com/images21/WelshSheepdogMax3.jpg
000017.jpg,http://www.dogwallpapers.net/wallpapers/nice-welsh-sheepdog-wallpaper.jpg
000018.jpg,https://i.pinimg.com/originals/99/b7/08/99b7087a8ca3cb5228d222075e2980f9.jpg
000019.jpg,https://thefarmingforum.co.uk/index.php?attachments/67e87f52-b93d-432d-bb1c-e5cf8a14c27d-jpeg.653028/
000020.jpg,https://www.pets4homes.co.uk/images/classifieds/2014/12/05/833932/large/welsh-sheepdog-reg-welsh-sheepdog-society-18months-54cf9a33434f4.JPG
000021.jpg,http://i.imgur.com/GFGq8gN.jpg
000022.jpg,http://www.animal-photography.com/AP-EJRD8O-LR-wm.jpg
000023.jpg,https://c8.alamy.com/comp/CF6FR4/black-white-welsh-sheepdog-lying-in-the-grass-waiting-to-work-CF6FR4.jpg
000024.jpg,https://images.wagwalkingweb.com/media/breed/welsh-sheepdog/hero/Welsh-Sheepdog.jpg
000025.jpg,https://thefarmingforum.co.uk/index.php?attachments/7d293c52-0bec-4bcc-8eb4-664627b9c9fb-jpeg.658006/
000026.jpg,https://www.dogbreedinfo.com/images21/WelshSheepdogMax2.jpg
000027.jpg,http://www.dogwallpapers.net/wallpapers/lovely-welsh-sheepdog.jpg
000028.jpg,https://i2-prod.walesonline.co.uk/incoming/article8090915.ece/ALTERNATES/s615/JS50109203.jpg
000029.jpg,https://i.ebayimg.com/00/s/MTAyNFg4MzQ=/z/v3wAAOSwDJNbs83i/$_86.JPG
000030.jpg,https://www.urbanpawsuk.com/wp-content/uploads/2015/05/Will110-1.jpg
000031.jpg,http://www.welshsheepdogsociety.com/wsdalbum/tn_Erwyd13_jpg.jpg
000032.jpg,https://i.pinimg.com/736x/78/0c/1f/780c1fa12f87eec3436134404df9371e--welsh-sheepdog-working-dogs.jpg
000033.jpg,https://www.ukpets.com/oc-content/uploads/breeds/0/2167.jpg
000034.jpg,https://pmdvod.nationalgeographic.com/NG_Video/843/615/lgpost_1517263875110.jpg
000035.jpg,https://www.dogzone.com/images/breeds/welsh-sheepdog-800.jpg
000036.jpg,https://www.pets4homes.co.uk/images/articles/2434/large/more-information-on-the-welsh-collie-54a29d7941a4f.jpg
000037.jpg,https://images-na.ssl-images-amazon.com/images/S/sgp-catalog-images/region_US/g9a9m-6ZTYV5FW15E-Full-Image_GalleryCover-en-US-1529344115149._UY500_UX667_RI_VEhMZ3M5NxO0HjYmvbKPgkMFL8mRnMzV_TTW_.jpg
000038.jpg,http://www.wildenfarm.co.uk/dogs/welsh%20sheepdog%20wilden%20piper.jpg
000039.jpg,http://www.pedigreedatabase.com/pictures/2067978.jpg
000040.jpg,https://i.dailymail.co.uk/i/newpix/2018/03/22/17/4A72751A00000578-5531179-image-a-8_1521739290800.jpg
000041.jpg,http://www.welshsheepdogsociety.com/hopkins%20pups.jpg
000042.jpg,https://i.imgur.com/JFoCF9Il.png
000043.jpg,https://live.staticflickr.com/4335/35710132883_a5bd0c824f_b.jpg
000044.jpg,https://news.images.itv.com/image/file/963118/stream_img.jpg
000045.jpg,http://www.tatupictures.com/wp-content/uploads/2016/08/eddie-for-raqs-244x300.jpg
000046.jpg,https://pbs.twimg.com/media/D-kymJDW4AAGqKs.jpg
000047.jpg,https://www.dogbreedinfo.com/images21/WelshSheepdogMax4.jpg
000048.jpg,https://dd0f2wgjtus3v.cloudfront.net/img/628x470/6249b7f0b25090c8e9b6a8e62a6c1c5915726cbc19392.jpg
000049.jpg,https://da1urhpfd469z.cloudfront.net/uploads/advertphotos/19/0619/38631342-132-640x853.jpg
000050.jpg,https://images.immediate.co.uk/production/volatile/sites/3/2016/08/115167.jpg?quality=90&resize=620,413
