image,source
000001.jpg,https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23000_welsh-springer-spaniel-460x290.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ab/Welsh_Springer_Spaniel_1.jpg
000003.jpg,http://www.dogzone.com/images/breeds/welsh-springer-spaniel.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12194550/Welsh-Springer-Spaniel-on-White-01.jpg
000005.jpg,https://www.pets4homes.co.uk/images/breeds/128/large/b394c649c765f824a3705e5b667b22b3.jpg
000006.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/welsh-springer-spaniel-dog-breed-pictures/9-faceforward.jpg
000007.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/welsh-springer-spaniel-detail-1.jpg?bust=1540316728&width=355
000008.jpg,https://i.pinimg.com/736x/aa/aa/b2/aaaab21097ae51148d655aefef2a6ec0.jpg
000009.jpg,https://media.istockphoto.com/photos/welsh-springer-spaniel-puppies-picture-id485166657?k=6&m=485166657&s=612x612&w=0&h=SoT5cvGgpa71cns92M-_YZL1wF0HJvDrCrOOkwaqfOQ=
000010.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Welsh-Springer-Spaniel_Mobile.jpg?h=300&la=en&w=375&hash=92D0B36F632704D0AA29BCECA1B590F5
000011.jpg,https://vetstreet-brightspot.s3.amazonaws.com/36/b30ce0a80d11e0a0d50050568d634f/file/Welsh-Springer-Spaniel-3-645mk062911.jpg
000012.jpg,https://images-na.ssl-images-amazon.com/images/I/41F%2BcM6NhwL._SX331_BO1,204,203,200_.jpg
000013.jpg,http://www.pethealthnetwork.com/sites/default/files/styles/large/public/the-welsh-springer-spaniel.jpg?itok=UQkBf8V3
000014.jpg,https://2.bp.blogspot.com/-sOXaqSSc4nc/WzTf0Xt2JSI/AAAAAAAAH-g/W49r-ofPmacDew9MWHxnzABjlZbzDELwQCLcBGAs/s1600/Welsh%2BSpringer%2BSpaniel.jpg
000015.jpg,https://i.pinimg.com/originals/2a/19/c5/2a19c5a303e99413837251592bc58ab7.jpg
000016.jpg,https://c8.alamy.com/comp/JKABHB/a-14-week-old-welsh-springer-spaniel-puppy-JKABHB.jpg
000017.jpg,http://cdn.akc.org/content/hero/welsh_springer_spaniel_hero.jpg
000018.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Welsh-Springer-Spaniel-2.jpg
000019.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Welsh-Springer-Spaniel-1.jpg
000020.jpg,https://c8.alamy.com/comp/EREWDW/young-welsh-springer-spaniel-EREWDW.jpg
000021.jpg,https://i.ytimg.com/vi/wOt3BaRn6Ew/maxresdefault.jpg
000022.jpg,https://www.omlet.de/images/cache/633/768/Dog-Welsh_Springer_Spaniel-A_young_Welsh_Springer_Spaniel_lying_neatly,_paws_together.jpg
000023.jpg,https://www.dogmal.com/wp-content/uploads/2018/07/Welsh-Springer-Spaniel.jpg
000024.jpg,https://t4.ftcdn.net/jpg/02/50/68/33/500_F_250683331_fefBiwmGQ9rzKUfSacC7nbBD2qCFoDQK.jpg
000025.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/WelshSpringer2.jpg/372px-WelshSpringer2.jpg
000026.jpg,https://thumbs.dreamstime.com/z/welsh-springer-spaniel-standing-front-white-background-63257060.jpg
000027.jpg,https://researchbreeder.com/images/Welsh-Springer-Spaniel-Puppies_.jpg
000028.jpg,https://www.nylabone.com/-/media/Images/Nylabone-NA/US/Dog101/Breeds-A-Z/Welsh-Springer-Spaniel-jpg.jpg
000029.jpg,https://previews.123rf.com/images/isselee/isselee1512/isselee151200017/48904137-welsh-springer-spaniel-sitting-in-front-of-a-white-background.jpg
000030.jpg,https://i.pinimg.com/originals/2e/2c/c9/2e2cc9728598e5392a0f97194a8b6da1.jpg
000031.jpg,https://1.bp.blogspot.com/-r2THBfhTOA0/WzThaM5UliI/AAAAAAAAH-s/frA7wekBIqklwL1ZdE1K4W_0dMwU-8_WACLcBGAs/s1600/Welsh%2BSpringer%2BSpaniel1.jpg
000032.jpg,https://thewallpaper.co//wp-content/uploads/2016/02/sad-eyes-welsh-springer-spaniel-dog-wallpaper-full-screen-high-definition-desktop-background-images-free-wallpapers-free-download-1600x1200.jpg
000033.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2018/11/21/nbc_dog_sporting_welshspringerspaniel_181120.jpg
000034.jpg,https://c8.alamy.com/comp/X9D3D9/young-welsh-springer-spaniel-X9D3D9.jpg
000035.jpg,https://www.dogzone.com/images/breeds/welsh-springer-spaniel-puppy.jpg
000036.jpg,http://fayeivywild.com/yahoo_site_admin/assets/images/01212019LeiafreezingdayAM2.4773200_std.jpg
000037.jpg,http://img1.wsimg.com/isteam/ip/3b454fc4-ee44-4bcc-a545-fee8ee05bfa0/01479d85-1943-4b14-9e32-a5a864d59258.jpg
000038.jpg,https://i.chzbgr.com/full/6598786048/h8383FAFB/
000039.jpg,https://vetstreet.brightspotcdn.com/dims4/default/36799df/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fac%2Fe4%2F8258473d4d00b01e7fe1a4b085ed%2Fwelsh-springer-spaniel-ap-2luis8.jpg
000040.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Welsh-Springer-Spaniel-3.jpg
000041.jpg,https://www.dogslife.com.au/wp-content/uploads/2009/01/Welsh-Springer-Spaniel.jpg
000042.jpg,https://i.ytimg.com/vi/h7och-ZXgLY/maxresdefault.jpg
000043.jpg,https://wds2018.com/wp-content/uploads/2017/05/Welsh-Springer-Spaniel.jpg
000044.jpg,https://www.vetarena.org/gallery/image-763.l.jpg
000045.jpg,https://data.whicdn.com/images/76634324/large.jpg
000046.jpg,https://www.k9rl.com/wp-content/uploads/2016/04/Welsh-Springer-Spaniel-Image.jpg
000047.jpg,https://i.pinimg.com/originals/ef/3d/1a/ef3d1a27894e56df6b1c42f03ddc273f.jpg
000048.jpg,https://tythedogguy.com/wp-content/uploads/2015/02/How-to-Train-a-Welsh-Springer-Spaniel.jpg
000049.jpg,http://www.cmoon.net/wp-content/uploads/2018/02/14067802_10154222328756072_6994641418276321500_o.jpg
000050.jpg,http://cdn.akc.org/content/article-body-image/wss_body_image_1.jpg
