image,source
000001.jpg,http://www.dogzone.com/images/breeds/westphalian-dachsbracke.jpg
000002.jpg,https://previews.123rf.com/images/alexraths/alexraths1212/alexraths121200008/16788491-dachshund-puppy-westphalian-dachsbracke-on-white-background.jpg
000003.jpg,https://www.petguide.com/wp-content/uploads/2017/01/westphalian-dachsbracke.jpg
000004.jpg,https://www.dogbreedplus.com/dog_breeds/images/westphalian_dachsbracke_dog.jpg
000005.jpg,http://www.gopetsamerica.com/dog_breeds/pics/westphalian_dachsbracke.jpg
000006.jpg,https://i.ytimg.com/vi/VlVEL1tbKhQ/maxresdefault.jpg
000007.jpg,https://vignette.wikia.nocookie.net/dog-breed4080/images/9/9a/39067b18db356827802ff736e6023026.jpg/revision/latest?cb=20171014231335
000008.jpg,http://3.bp.blogspot.com/_LYxGQn08RU4/SZ2ebspRtuI/AAAAAAAAERQ/qWzidOW7UNk/s400/WESTPHALIAN+DACHSBRACKE+Westph%C3%A4lische+Dachsbracke.jpg
000009.jpg,http://www.easypetmd.com/sites/default/files/westphalian_dachsbracke%20(1).jpg
000010.jpg,https://i.pinimg.com/originals/51/f2/9f/51f29f17050237e99dc1d34847adef25.jpg
000011.jpg,https://bigdogbreeds.info/wp-content/uploads/2019/01/Westphalian-Dachsbracke-dog-temperament.jpg
000012.jpg,https://www.worldlydogs.com/uploads/5/2/2/3/52234445/7476091_orig.png
000013.jpg,https://i.ytimg.com/vi/OZVkF8scwik/hqdefault.jpg
000014.jpg,https://i.pinimg.com/originals/1a/46/74/1a467452ddc556f38626db6d48820d94.jpg
000015.jpg,https://previews.123rf.com/images/alexraths/alexraths1212/alexraths121200009/16788496-dachshund-puppy-westphalian-dachsbracke-on-white-background.jpg
000016.jpg,https://i.pinimg.com/236x/61/93/eb/6193eb3ffacd588991345cb0abbf7deb--puppies-puppies-puppys.jpg
000017.jpg,https://st.depositphotos.com/1194063/1681/i/950/depositphotos_16813597-stock-photo-dachshund-puppy-westphalian-dachsbracke.jpg
000018.jpg,https://brit-petfood.com/file/nodes/product/styrskybrakyr.jpg
000019.jpg,https://images.puppyfinder.com/Breed/e/c/a/eca54683bd23cf4c_798_image1_medium.jpg
000020.jpg,https://previews.123rf.com/images/alexraths/alexraths1212/alexraths121200010/16788494-dachshund-puppy-westphalian-dachsbracke-on-white-background.jpg
000021.jpg,https://i.pinimg.com/originals/d7/cf/43/d7cf4324d892a31cdba98aed23ad6b88.jpg
000022.jpg,https://www.doglib.com/wp-content/uploads/sites/2/we/westphalian-know-about-drever-breed.jpg
000023.jpg,https://images-na.ssl-images-amazon.com/images/I/41tjH9yWvEL._SX331_BO1,204,203,200_.jpg
000024.jpg,https://previews.123rf.com/images/alexraths/alexraths1212/alexraths121200012/16788495-dachshund-puppy-westphalian-dachsbracke-on-white-background.jpg
000025.jpg,http://www.dogwallpapers.net/wallpapers/westphalian-dachsbracke-crosswalk-dog-wallpaper.jpg
000026.jpg,https://images.freeart.com/comp/art-print/fa11921563/dachshund-puppy-westphalian-dachsbracke.jpg
000027.jpg,https://2puppies.com/api/media/cache/breed_photo/Westphalian-Dachsbracke/Westphalian-Dachsbracke-2.jpg
000028.jpg,http://1.bp.blogspot.com/-9KCluPtzHXk/TbZkqt6qDGI/AAAAAAAAASw/rzAvYA0o8RY/s400/Westphalian%2BDachsbracke%2BDog%2BBreed%2BPhotos%2B02.jpg
000029.jpg,https://upload.wikimedia.org/wikipedia/commons/3/34/Drever_NUCh_Tanjo.jpg
000030.jpg,https://previews.123rf.com/images/alexraths/alexraths1304/alexraths130400002/18965172-two-puppies-isolated-on-white-background-westphalian-dachsbracke.jpg
000031.jpg,https://images.fineartamerica.com/images/artworkimages/mediumlarge/1/westphalian-dachsbracke-in-watercolor-pablo-romero.jpg
000032.jpg,https://banner2.kisspng.com/20180514/qsw/kisspng-dachshund-westphalian-dachsbracke-basset-hound-bea-5af91ace26a6c5.3701982015262747661583.jpg
000033.jpg,https://banner2.kisspng.com/20180517/plw/kisspng-sussex-spaniel-alpine-dachsbracke-alpine-spaniel-d-5afd866de3cd23.4023206515265644619331.jpg
000034.jpg,http://www.dogwallpapers.net/wallpapers/nice-westphalian-dachsbracke-dog-wallpaper.jpg
000035.jpg,https://i.ytimg.com/vi/KiOnQ6do-z4/hqdefault.jpg
000036.jpg,https://alchetron.com/cdn/westphalian-dachsbracke-9180ac17-f6b5-477a-9d17-853287c0c77-resize-750.jpeg
000037.jpg,https://images.wagwalkingweb.com/media/activity_guides/hero/1533541285.11/Westphalian-Dachsbracke.jpg
000038.jpg,https://cdn.fotofits.com/responsive/1200x1200/petzlover/gallery/img/l/westphalian-dachsbracke-517679.jpg
000039.jpg,https://get.pxhere.com/photo/dog-mammal-vertebrate-dog-breed-canidae-beagle-harrier-carnivore-harrier-serbian-tricolour-hound-beagle-finnish-hound-estonian-hound-american-foxhound-companion-dog-english-foxhound-hound-Posavac-hound-Westphalian-dachsbracke-grand-anglo-fran-ais-tricolore-scent-hound-sporting-group-Braque-saint-germain-schweizer-laufhund-hunting-dog-rare-breed-dog-hamiltonst-vare-coonhound-serbian-hound-drever-basset-art-sien-normand-Artois-hound-pocket-beagle-1583771.jpg
000040.jpg,http://www.dogwallpapers.net/wallpapers/cute-westphalian-dachsbracke-dog-wallpaper.jpg
000041.jpg,https://www.milouchouchou.com/milannu/inc/im_cat/100.jpg
000042.jpg,https://bigdogbreeds.info/wp-content/uploads/2019/01/Westphalian-Dachsbracke-dog.jpg
000043.jpg,https://cdn.fotofits.com/responsive/1200x1200/petzlover/gallery/img/l/westphalian-dachsbracke-275607.JPG
000044.jpg,https://2puppies.com/api/media/cache/breed_photo/Westphalian-Dachsbracke/Westphalian-Dachsbracke-3.jpg
000045.jpg,http://www.animal-photography.com/AP-GRYOXE-LR-wm.jpg
000046.jpg,https://i.ytimg.com/vi/unhR3M1bSvI/hqdefault.jpg
000047.jpg,http://www.dogwallpapers.net/wallpapers/cute-westphalian-dachsbracke-puppy-pic.jpg
000048.jpg,https://www.desktopbackground.org/p/2011/08/16/251188_westphalian-dachsbracke-puppies_1600x1200_h.jpg
000049.jpg,http://4.bp.blogspot.com/-b3MXc8RFgNQ/UUjff33UquI/AAAAAAAAAQ8/zQAI5rwIkvM/s1600/415274785.jpg
000050.jpg,https://i.ebayimg.com/images/g/qm8AAOSwx-9WwIbC/s-l300.jpg
