image,source
000001.jpg,https://img.dog-learn.com/dog-breeds/white-shepherd/white-shepherd-i4-sz14.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Berger_Blanc_Suisse_15_Wochen-15_weeks.JPG/220px-Berger_Blanc_Suisse_15_Wochen-15_weeks.JPG
000003.jpg,https://www.petguide.com/wp-content/uploads/2014/10/white-shepherd.jpg
000004.jpg,https://animalso.com/wp-content/uploads/2016/12/white-shepherd_5.jpg
000005.jpg,https://i.pinimg.com/originals/58/0b/78/580b783740d1695413a98c458fd321e8.jpg
000006.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ae/20180320_White_Shepherd_2.jpg
000007.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/American-White-Shepherd-2.jpg
000008.jpg,https://animalso.com/wp-content/uploads/2016/12/white-shepherd_6.jpg
000009.jpg,https://www.thekennelclub.org.uk/media/1159575/white-swiss-shepherd-dog-photo-by-victoria-coll.jpg
000010.jpg,https://dgicdplf3pvka.cloudfront.net/images/dogbreeds/large/WhiteShepherd.jpg
000011.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-TZ/whiteshepherds-pd1.jpg
000012.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-TZ/whiteshepherdsf4.jpg
000013.jpg,https://i.pinimg.com/originals/a8/3f/a1/a83fa1d9761ff93f3a5f52ecd5a94e88.jpg
000014.jpg,https://thehappypuppysite.com/wp-content/uploads/2017/12/white-gsd.jpg
000015.jpg,http://www.dogzone.com/images/breeds/white-swiss-shepherd-dog.jpg
000016.jpg,https://www.pets4homes.co.uk/images/breeds/292/large/3f096ffe43eec12f2f9a401e9cc007f3.jpg
000017.jpg,https://thehappypuppysite.com/wp-content/uploads/2017/12/white-german-shepherd.jpg
000018.jpg,https://animalso.com/wp-content/uploads/2018/12/White-Swiss-Shepherd.jpg
000019.jpg,https://i.ytimg.com/vi/UZ-m4A7Ffks/maxresdefault.jpg
000020.jpg,https://www.selectadogbreed.com/media/1845/whiteswissshepherd_adult.jpg
000021.jpg,https://animalso.com/wp-content/uploads/2016/12/white-german-shepherd_4.jpg
000022.jpg,https://i.pinimg.com/originals/48/f0/17/48f017dccf5fa62cb6d169e98aa29745.jpg
000023.jpg,https://www.vontasz.com/Ramsey%20National%20Best%20of%20Breed.jpg
000024.jpg,https://www.dogbreedinfo.com/images26/AmericanWhiteShepherdDogGSDCanadianMandy8MonthsOld2.jpg
000025.jpg,https://www.dogbreedplus.com/dog_breeds/images/white-american-shepherd.jpg
000026.jpg,https://2puppies.com/api/media/cache/breed_photo/White-Swiss-Shepherd-Dog/White-Swiss-Shepherd-Dog-5.jpg
000027.jpg,http://www.worldlifeexpectancy.com/images/a/d/d/b/white_shepherd/white_shepherd_1.jpg
000028.jpg,http://btww.eu/wp-content/uploads/2018/03/monikalaneman-btww2-1024x1024.jpg
000029.jpg,http://www.molosserdogs.com/gallery/albums/userpics/10538/Billede%20054.jpg
000030.jpg,https://i.ytimg.com/vi/IpDp0tQRwTo/maxresdefault.jpg
000031.jpg,https://animalsbreeds.com/wp-content/uploads/2014/12/American-White-Shepherd-6.jpg
000032.jpg,https://www.selectadogbreed.com/media/1847/whiteswissshepherd_puppy.jpg
000033.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/2008-08-28_White_German_Shepherd_ready.jpg/640px-2008-08-28_White_German_Shepherd_ready.jpg
000034.jpg,https://i.pinimg.com/originals/59/31/97/5931976c733a009490f076e8a566d8fe.jpg
000035.jpg,https://animalso.com/wp-content/uploads/2016/12/white-shepherd_2.jpg
000036.jpg,https://www.dog-breeds-expert.com/images/white-swiss-shepherd-snow.jpg
000037.jpg,http://www.majesticwhiteshepherds.com/img/lustyhome.jpg
000038.jpg,https://images.ctfassets.net/w00x6p5qkejz/6NztM2k2UouMWwCkW8Ogcy/eb9ebb09b809385a4cfc7c1c85f676fa/White_Swiss_Shepherd_B_W_Small_File.png
000039.jpg,https://www.petguide.com/wp-content/uploads/2014/10/white-shepherd-2.jpg
000040.jpg,https://www.europuppy.com/wp-content/uploads/desc65-1024x640.jpg
000041.jpg,https://www.holidogtimes.com/wp-content/uploads/2018/06/white-swiss-shepherd-dog-810x412.png
000042.jpg,https://i.pinimg.com/236x/d7/2d/a3/d72da3a6c02eb1d0d75eaa026c869d26--white-shepherd-pastor.jpg
000043.jpg,https://www.shepped.com/wp-content/uploads/2016/05/White-GSD-is-Good-for-Herding.jpg
000044.jpg,https://www.bellaneveshepherds.com/x/cdn/?https://storage.googleapis.com/wzukusers/user-28701570/images/5c72f8ddcc956nJZcZHC/amar.jpg
000045.jpg,https://animalso.com/wp-content/uploads/2016/12/white-german-shepherd_1.jpg
000046.jpg,http://www.wsgenetics.com/index_htm_files/420.png
000047.jpg,http://www.sugarloafshepherds.com/cur/Images/mia-grey%20litter.jpg
000048.jpg,https://i.ytimg.com/vi/T4eoSlD30-k/maxresdefault.jpg
000049.jpg,https://dogsofsf.com/wp-content/uploads/2017/12/IMG_3029.jpg
000050.jpg,http://www.monacolist.com/wp-content/uploads/2018/08/White-Swiss-Shepherd-Breeding-Male-BTWW-Wahlman-August-2018-0007.jpg
