image,source
000001.jpg,https://images.wagwalkingweb.com/media/breed/%7Bslug%7D/hero/1533977995.17/Xiasi.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ad/Xiasi_Quan_dog.jpg
000003.jpg,https://i.pinimg.com/736x/30/7c/b7/307cb709ea1a3748d2dc2c0bd1de7d43--the-verge-the-chinese.jpg
000004.jpg,https://g.rrrather.com/img/q/155628a.jpg
000005.jpg,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/19cb5894-0b29-4653-abc7-2e7884cb5c73/da4jeqc-38435edb-5368-434e-b660-0de7e1b8eb8e.png/v1/fill/w_890,h_898,q_70,strp/xiasi_dog_import_by_forgottenamnesty_da4jeqc-pre.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9MTAzNCIsInBhdGgiOiJcL2ZcLzE5Y2I1ODk0LTBiMjktNDY1My1hYmM3LTJlNzg4NGNiNWM3M1wvZGE0amVxYy0zODQzNWVkYi01MzY4LTQzNGUtYjY2MC0wZGU3ZTFiOGViOGUucG5nIiwid2lkdGgiOiI8PTEwMjQifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6aW1hZ2Uub3BlcmF0aW9ucyJdfQ.DUAiqaQPthKzURn5sKQ2bvJiH5L8RHuEr-lJ_Digm4Y
000006.jpg,https://images.wagwalkingweb.com/media/activity_guides/hero/1530802535.59/Activities-For-An-Xiasi.jpg
000007.jpg,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/19cb5894-0b29-4653-abc7-2e7884cb5c73/da4jepp-75dc0572-42e2-448e-b02c-bdad58258f7d.png/v1/fill/w_1024,h_1034,q_80,strp/xiasi_dog_import_by_forgottenamnesty_da4jepp-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9MTAzNCIsInBhdGgiOiJcL2ZcLzE5Y2I1ODk0LTBiMjktNDY1My1hYmM3LTJlNzg4NGNiNWM3M1wvZGE0amVwcC03NWRjMDU3Mi00MmUyLTQ0OGUtYjAyYy1iZGFkNTgyNThmN2QucG5nIiwid2lkdGgiOiI8PTEwMjQifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6aW1hZ2Uub3BlcmF0aW9ucyJdfQ.BJBIaCoCzoC3rq1n4nCqED1Oos9iVKt_34vgZU4JdCY
000008.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2016/11/Screen-Shot-2016-11-05-at-10.05.46-AM-300x267.png
000009.jpg,https://bigdogbreeds.info/wp-content/uploads/2019/01/Xiasi-Dog4-300x248.jpg
000010.jpg,https://usercontent1.hubstatic.com/12880530.jpg
000011.jpg,https://i.ytimg.com/vi/3F7YRGNZ82k/hqdefault.jpg
000012.jpg,https://a4.pbase.com/o9/62/878462/1/152893874.vvMKlBTv.IMG_0504.jpg
000013.jpg,https://www.hindawi.com/journals/isrn/2013/621836.fig.003.jpg
000014.jpg,https://dogsaholic.com/wp-content/uploads/2015/06/The-Chow-Chow.jpg
000015.jpg,https://images-cdn.9gag.com/photo/a2qGO7E_700b.jpg
000016.jpg,https://bigdogbreeds.info/wp-content/uploads/2019/01/Xiasi-Dog-temperament.jpg
000017.jpg,https://alchetron.com/cdn/xiasi-dog-e150b3f3-aaca-4164-97b0-8153cf5d269-resize-750.jpeg
000018.jpg,https://dogsaholic.com/wp-content/uploads/2015/06/Train-your-Chinese-Hairless-Crested-dog.jpg
