image,source
000001.jpg,https://epi.azureedge.net/website-images/images/default-album/yorkshire-terrierdf23b6a24c9f653bbdf5ff0000035de2.jpg?sfvrsn=64bcd37b_2
000002.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/03/26125843/yorkshire-terrier-cover.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20203728/Yorkshire-Terrier-2.1.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20225040/Yorkshire-Care.jpg
000005.jpg,https://images.homedepot-static.com/productImages/41b24308-7b6a-4834-8191-31abe3c5a8ed/svn/hi-line-gift-garden-statues-87771-h-64_300.jpg
000006.jpg,https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23132_yorkshire-terrier-460x290.jpg
000007.jpg,https://www.pets4homes.co.uk/images/breeds/20/large/3c5996b6fe641cf7fac5d5551e43f359.jpg
000008.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20183328/Yorkshire-puppy.jpg
000009.jpg,https://vetstreet-brightspot.s3.amazonaws.com/dd/5c/b14d4033429eaf1ebcd52f8a9d10/yorkshire-terrier-ap-0mhxtf-645.jpg
000010.jpg,https://images.homedepot-static.com/productImages/23102825-d19d-479a-8571-f001aaefda61/svn/hi-line-gift-garden-statues-87706-d-64_1000.jpg
000011.jpg,https://secure.img1-fg.wfcdn.com/im/32224782/compr-r85/5939/59390097/teacup-yorkshire-terrier-puppy-statue.jpg
000012.jpg,https://images-na.ssl-images-amazon.com/images/I/71hHgHg7FOL._SY450_.jpg
000013.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/%282_version%29_Grupp_3%2C_YORKSHIRETERRIER%2C_NO_UCH_SE_UCH_Oxzar_Amazing_Bel%E2%80%99s_Toffy_%2824310212305%29.jpg/220px-%282_version%29_Grupp_3%2C_YORKSHIRETERRIER%2C_NO_UCH_SE_UCH_Oxzar_Amazing_Bel%E2%80%99s_Toffy_%2824310212305%29.jpg
000014.jpg,https://www.pets4homes.co.uk/images/breeds/20/large/917d77fa7e0070d0e219ba59ff770ade.jpg
000015.jpg,http://suttons.s3.amazonaws.com/p/620039_3.jpg
000016.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos2-Y/yorkshire-terrier-03.jpg
000017.jpg,http://www.corralet.com/wp-content/plugins/justified-image-grid/timthumb.php?src=http%3A%2F%2Fwww.corralet.com%2Fwp-content%2Fgallery%2Fyorkshireterrier%2FCachorro-Yorkshire-Terrier-Corralet-2.JPG&h=446&w=514&q=35&f=.JPG
000018.jpg,https://vetstreet-brightspot.s3.amazonaws.com/b1/22d490a81e11e0a0d50050568d634f/file/Yorkshire-Terrier-5-645mk070411.jpg
000019.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos2-Y/yorkshire-terrier-01.jpg
000020.jpg,https://imfromyorkshire.uk.com/wp-content/uploads/2015/10/Yorkshire-Terriers.png
000021.jpg,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/TOY_Yorkshire-Terrier.jpg?itok=t_q5f0s2
000022.jpg,https://i.etsystatic.com/14105724/r/il/7e2783/1601986338/il_794xN.1601986338_ppnr.jpg
000023.jpg,https://images-na.ssl-images-amazon.com/images/I/61Wi9%2BT8ILL._SX466_.jpg
000024.jpg,https://www.schleich-s.com/media/catalog/product/1/3/13876_v2_v18_tp.jpg
