image,source
000001.jpg,https://www.pets4homes.co.uk/images/articles/3387/large/a-rare-and-beautiful-hound-the-cirneco-delletna-567193303f6dc.jpg
000002.jpg,http://www.dogzone.com/images/breeds/cirneco-dell-etna.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12215538/Cirneco-Dell-Etna-On-White-01.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12215525/Cirneco-dell-Etna-MP.jpg
000005.jpg,https://images.ctfassets.net/w00x6p5qkejz/5zFt0ivyiAuwUo0OcESWik/2cce95b6030f5b2670330e514183ddbf/Cirneco_del_Etna1.png
000006.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/cirneco-delletna-detail.jpg?bust=1535565528&width=355
000007.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Cirneco-Dell-Etna-2.jpg
000008.jpg,https://vetstreet.brightspotcdn.com/dims4/default/37e8930/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F36%2Fe3%2Fdb472e7d4bbcbbceba9d5736aee6%2Fcirneco-delletna-ap-0evzci-645-x-380.jpg
000009.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7b/Cirneco_dell_Etna_611.jpg
000010.jpg,https://www.petguide.com/wp-content/uploads/2015/04/cirneco-dell-etna.jpg
000011.jpg,https://primitivedogs.com/wp-content/uploads/2015/12/Cirneco-dell-Etna-featured-800x324.jpg
000012.jpg,https://fairvet.com/uploads/dog_breeds/full/Cirneco-dell%E2%80%99-Etna-1439053119.jpg
000013.jpg,https://st3.depositphotos.com/11531248/18304/i/1600/depositphotos_183043426-stock-photo-portrait-of-cirneco-dell-etna.jpg
000014.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Cirneco-Dell-Etna-3.jpg
