image,source
000001.jpg,https://66.media.tumblr.com/29e47288807e8f66a4b2bc9eec0cf973/tumblr_p27x2ncYBz1uvq9elo1_500.jpg
000002.jpg,https://i.ytimg.com/vi/d_kr56O27FI/maxresdefault.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5b/Sarplaninac_front.jpg
000004.jpg,https://upload.wikimedia.org/wikipedia/commons/5/50/Sardog.jpg
000005.jpg,https://i.ytimg.com/vi/3jjZsNfDEDE/maxresdefault.jpg
000006.jpg,https://i.ytimg.com/vi/lQ5JnOU6eBU/maxresdefault.jpg
000007.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c4/Sarplaninac_Romai_Mandula.jpg
000008.jpg,https://i.pinimg.com/originals/49/b4/a7/49b4a7a8bb3701ff52a1508d30f20cdc.jpg
000009.jpg,https://ksrs.rs/wp-content/uploads/2017/07/jugoslovenski-sarplaninac-589x500.jpg
000010.jpg,https://cdn.agroklub.com/upload/images/text/thumb/sarplaninac-pas-880x495.jpg
000011.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/%C5%A0arplaninac_in_Ruma_Serbia.jpg/300px-%C5%A0arplaninac_in_Ruma_Serbia.jpg
000012.jpg,https://i1.wp.com/www.mascotarios.org/wp-content/uploads/2011/07/Sar.jpg
000013.jpg,https://66.media.tumblr.com/fc4240366c4686eee81a66ae0d69dbe3/tumblr_nr0woyDtmf1sl76l3o4_500.jpg
000014.jpg,https://kinoloskisavezksrs.com/new/wp-content/uploads/2018/01/Sarplaninac-300x214.jpg
000015.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Sarplaninac-2.jpg
000016.jpg,http://serbia.vavok.net/fls/15/10/sarplaninac-shepherd-dog.jpg
000017.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Murgjo_Sharr_Mountain_Dog_Nedi_Limani.jpg/282px-Murgjo_Sharr_Mountain_Dog_Nedi_Limani.jpg
000018.jpg,http://webmarket.rs/uploads/c/th_1md-1517474982.jpg
000019.jpg,https://c8.alamy.com/comp/X7ACBG/kid-of-the-shepherd-dog-of-the-race-arplaninac-illyrian-sheepdog-X7ACBG.jpg
000020.jpg,https://www.alo.rs/resources/images/0000/163/938/hukijh_1000x0.jpg
000021.jpg,https://i.imgur.com/EnfgwQR.jpg?fb
000022.jpg,https://i.pinimg.com/originals/52/40/82/52408222344750a55a147ab463bb5f79.jpg
000023.jpg,http://www.putokaz.me/images/RAZNO/ZOO/2_Sarplaninac/Sarplaninac_Murdz_putokaz.JPG
000024.jpg,https://img.dog-learn.com/dog-breeds/sarplaninac/sarplaninac-i2-sz14.jpg
000025.jpg,https://i0.wp.com/www.mascotarios.org/wp-content/gallery/sarplaninac/sarplaninac7.jpg
000026.jpg,https://i.pinimg.com/originals/b2/cf/83/b2cf83bac934b37d26189bf0ec32d3f8.jpg
000027.jpg,https://img.halooglasi.com//slike/oglasi/Thumbs/181108/m/sarplaninac-odlicna-stenad-fci-4255-5425634369379-71786858454.jpg
000028.jpg,https://img.dog-learn.com/dog-breeds/sarplaninac/sarplaninac-puppy-i5-sz3.jpg
000029.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5f/Pasa-pas-putin-sarplaninac.jpg
000030.jpg,https://c8.alamy.com/comp/JB58CT/kid-of-the-shepherd-dog-of-the-race-arplaninac-illyrian-sheepdog-JB58CT.jpg
000031.jpg,https://as2.ftcdn.net/jpg/01/74/95/29/500_F_174952977_xbbnZudBbXianTMDGPFYt1CSOtJzWsBK.jpg
000032.jpg,https://www.dogzone.com/images/breeds/sarplaninac-800.jpg
000033.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2017/11/Screen-Shot-2017-11-16-at-9.32.48-AM.png
000034.jpg,https://i.pinimg.com/236x/c4/c7/35/c4c73509b647991cd27b65b02e6631df--herding-dogs-mountain-dogs.jpg
000035.jpg,https://i.ytimg.com/vi/4-oVh624obA/maxresdefault.jpg
000036.jpg,https://i.pinimg.com/originals/71/ee/4f/71ee4fcca9e8b5724cf0ec047afdfd83.jpg
000037.jpg,https://booksforever1blog.files.wordpress.com/2012/10/1281380091_113037521_1-fotok-sarplaninac-kiskutyak-1281380091.jpg
000038.jpg,https://farmiars.blob.core.windows.net/blogimages/Stocarstvo/Sarplaninac/sarplaninac-jugoslovenski-ovcarski-pas.jpg
000039.jpg,https://www.petpaw.com.au/wp-content/uploads/2015/05/Sarplaninac-is-cute1.jpg
000040.jpg,https://livestockguardiandog.weebly.com/uploads/1/2/9/2/12922508/1400312715.jpg
000041.jpg,https://i.ytimg.com/vi/OsPZ03op-h0/hqdefault.jpg
000042.jpg,http://www.pedigreedatabase.com/pictures/2874136.jpg
000043.jpg,https://i.ytimg.com/vi/NWLIGeY5YPo/maxresdefault.jpg
000044.jpg,https://scontent-lht6-1.cdninstagram.com/vp/abcb3a4b32aa8490897f197ad0fdc215/5DB946C4/t51.2885-15/e35/c138.0.803.803a/s320x320/61750098_506763400145775_8336531549474925950_n.jpg?_nc_ht=scontent-lht6-1.cdninstagram.com&ig_cache_key=MjA2MzQ0MTQ2Njk5NjM3NTMwNQ%3D%3D.2.c
000045.jpg,https://i.pinimg.com/originals/88/64/46/886446e592bfba19dc39d66558b7ebdb.jpg
000046.jpg,https://scontent-frx5-1.cdninstagram.com/vp/96c3f465c70d268d8a2ad7e86ac87c0e/5DA7BA77/t51.2885-15/e35/50931841_982627185275790_5221027671144049964_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&se=8&ig_cache_key=MTk4MzQxMDMxODc1MTMxMDcxMw%3D%3D.2
000047.jpg,https://www.index.hr/oglasi/UserDocsImages/oglas/_2019/3/24/1684845/viberimage2019-03-23133822-240320191400139285.jpg?preset=oglas-slike-view-detaljnoGalOpen2
000048.jpg,https://www.njuskalo.hr/image-bigger/psi/sarplaninci-stenci-cistokrvni-stenci-kavkaz-sarplaninac-prvoklasni-slika-71701054.jpg
000049.jpg,https://www.petguide.com/wp-content/uploads/2015/09/Sarplaninac-puppy.jpg
000050.jpg,http://3.bp.blogspot.com/-FYzl5H0c6Kw/U_tTsMzWf8I/AAAAAAAAY7Y/cS7LvaWlf_w/s1600/dona2.jpg
